Title,wlyyy,nocor,xnmdg,xnmdg3,ewmdv,ewmdv5,Field17
391. Yoshinori,MICHELIN,99 reviews,Open Now,"French, European",“A remarkable dinner with a remarkable...”,“Excellent imaginative French fusion by a...”,4.0
392. Kinugawa Matignon,MICHELIN,129 reviews,"Japanese, Asian",$$$$,“Great Sushi in Paris!”,“Quality food but pricy”,4.0
393. Chinaski,MICHELIN,31 reviews,"European, French",$$ - $$$,"“Excellent, unfussy but delicious meal in...”",“Sublime!”,4.5
394. Restaurant Champeaux,MICHELIN,"1,066 reviews",Open Now,"French, European",“Never disappoints”,“Just another bistro”,3.5
395. Lai'Tcha Bistrot Chinois,MICHELIN,64 reviews,Open Now,"French, Asian",“Perfect tea break”,“Delicious Lunch”,4.0
396. Armani Ristorante,MICHELIN,57 reviews,"Italian, Gastropub",$$$$,"“Stylish atmosphere, uneven food”",“Fully redone since our last visit”,4.0
397. Brach Le Restaurant,MICHELIN,252 reviews,Open Now,"Mediterranean, French",“A must go in Paris”,“Cool”,3.5
398. Pitanga,MICHELIN,12 reviews,Dining bars,$$ - $$$,“Amazing flavors with brazilian influences”,“Excellent”,5.0
399. Sushi Okuda,MICHELIN,31 reviews,"Japanese, Sushi",$$$$,“tokyo style Sushi”,“High level experience”,4.5
400. Marchon,MICHELIN,16 reviews,French,$$$$,“An enjoyable culinary experience which...”,“Pas une fausse note ! Bravo”,4.5
401. Eclipses,MICHELIN,20 reviews,"French, Contemporary",$$$$,“Excellent!”,“Eclipses”,4.5
402. Double Dragon,MICHELIN,81 reviews,Asian,$$ - $$$,“The buzz of the season”,"“Chinese testified, consider here as a...”",4.0
403. Anahi,MICHELIN,113 reviews,"Steakhouse, Latin",$$$$,“Anahi :)”,“Good”,4.0
404. Les Petits Parisiens,MICHELIN,17 reviews,French,$$ - $$$,“Un bon r'estaurant bistronomique”,“Top !”,4.5
405. Sagan,MICHELIN,23 reviews,Japanese,$$$$,“Delicious and interesting”,“Excellent Japanese”,4.5
406. JOIA par Helene Darroze,MICHELIN,599 reviews,"French, European",$$$$,"“Nice location, nice food”",“A big name for an average restaurant”,3.5
407. Disciples,MICHELIN,14 reviews,French,$$$$,“Simply wonderful”,“Jean Pierre Vigato  le retour...”,4.5
408. Marsan,MICHELIN,63 reviews,"French, Healthy",$$$$,“Do not respect confirmed reservations...”,"“Amazing space, service and food”",4.0
409. Le Cadoret,MICHELIN,63 reviews,"French, Seafood",$$ - $$$,"“A wonderful experience, not a tourist...”",“It's busy there for a good reason!”,4.0
410. Le Saint Sebastien,MICHELIN,25 reviews,"French, European",$$$$,“Wonderful”,“Wonderful”,4.0
411. Nolinski Le Restaurant,MICHELIN,18 reviews,Open Now,French,“Hotel dining par excellence”,“Great service and spread for breakfast”,4.5
412. Restaurant Anne,MICHELIN,32 reviews,French,$$$$,“What a pity”,“High class price but low class service”,4.0
413. Nodaiwa,MICHELIN,9 reviews,"Japanese, Asian",$$ - $$$,“Amazing discovery”,“Découverte de l'anguille à la japonaise”,4.5
414. Cucina Mutualite,MICHELIN,127 reviews,Italian,$$ - $$$,“very hungry”,"“delicious food, great interior”",3.5
415. Le relais St. Germain,MICHELIN,10 reviews,$$ - $$$,,"“Wonderful, relaxing lunch”",“A Great Boutique Hotel”,4.5
416. Brasserie Lutetia,MICHELIN,276 reviews,Open Now,"French, European","“Good when simple, weak when elaborated”",“An unexpected deception !”,3.0
417. Maison,MICHELIN,6 reviews,"French, European",$$$$,“The NEW Must-Visit!”,“Un beau gastro métro Saint Maur”,5.0
418. Yido,MICHELIN,5 reviews,"Asian, Korean",,“Un très bon moment”,“Un coréen simple et bon”,4.0
419. Les Jardins du Faubourg,MICHELIN,12 reviews,"French, European",$$ - $$$,“Dîner d’anniversaire.”,“Au calme chez Bruno Doucet”,3.5
420. A L'Epi d'Or,MICHELIN,50 reviews,French,$$ - $$$,"“Busy lunch spot, run-of-the-mill Parisian...”",“Good food but bad experience”,3.5
421. Trente-Trois,MICHELIN,4 reviews,French,$$$$,“Déjeuner parfait”,“Cadre merveilleux et cuisine...”,4.5
422. Ogata,MICHELIN,32 reviews,$$$$,,“Splendid”,“Beautiful building and great food”,3.0
423. Le Grand Restaurant,MICHELIN,41 reviews,"Italian, French",$$ - $$$,“Poor service”,"“Cozy, chill, bubbly and fun”",3.0
