Title,Info,badgetext,ratingdate,partial_entry,View,Number,Field2,Field3
Well worth the hassle of getting online in time to book,Maitreyib,60 reviews,"Reviewed May 28, 2016 ","We got there ten minutes late for a 1330 reservation and had to,wit for a table. Staff friendly, soured us it would not be long, asked if we wanted a drink at bar while waiting, and brought us a plate of delicious, moist ham. 
Plain...More",Date of visit: April 2016,1  ,"<span class=""ui_bubble_rating bubble_40""></span>",
Amazing!,AWinterborn,5 reviews,"Reviewed May 25, 2016 ",Everything was amazing! Cant find any faults. The food was creative and delicious and service impeccable! Go for yourself and find out!,Date of visit: April 2016,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Delicious food,71barryz,17 reviews,"Reviewed May 15, 2016 ","I had the 3 course lunch, which I reserved on their website.  (Dinner cannot be reserved on the website).  All the courses were excellent.  High quality ingredients, perfectly cooked and creative.  Service was also outstanding.",Date of visit: May 2016,2  ,"<span class=""ui_bubble_rating bubble_50""></span>",
So many unnecessary reservation hurdles...,acmegumbo,39 reviews,"Reviewed May 5, 2016 ",...mean we will never again make the effort.  The restaurant makes reservations only by telephone (the website's reservation system never works) 3 weeks out and then only a couple hours per day.  I set an alarm for 2:55 a.m. my time in order to make...More,Date of visit: May 2016,10  ,"<span class=""ui_bubble_rating bubble_10""></span>",
Fabulous,Bruce S,114 reviews,"Reviewed May 5, 2016 ",One of the best meals I have ever had.  Casual atmosphere and just incredible.  Great staff and service.  Can't wait to go again,Date of visit: May 2016,,"<span class=""ui_bubble_rating bubble_50""></span>",
"Best in Paris, quite possibly",jdyck,9 reviews,"Reviewed April 20, 2016 ","There's not much I can say about Septime that hasn't been said before. It's truly at the top of the heap of Paris restaurants, which is saying something! Although quite dear, you are most definitely paying for what you get. Responsibly sourced and immaculately prepared,...More",Date of visit: December 2015,2  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Amazing lunch at a good value,N0rwegianGirl,192 reviews,"Reviewed April 19, 2016 ","We wanted to go here for dinner, but it was impossible to get reservations. However, we managed to get lunch reservations and settled for that. There was a choice between a three course or a six course lunch. We went with the three course menu...More",Date of visit: April 2016,4  ,"<span class=""ui_bubble_rating bubble_50""></span>",
The one french bistrot to try,FoodStache,17 reviews,"Reviewed April 3, 2016 ",Septime has been around for quite some years already and is often regarded as one of the first upscale bistrot that helped establish this trend in Paris. It's surely one place to visit when in Paris; for lunch or dinner to try their daily changing...More,Date of visit: September 2015,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
The one french bistrot to try,FoodStache,17 reviews,"Reviewed April 3, 2016 ",Septime has been around for quite some years already and is often regarded as one of the first upscale bistrot that helped establish this trend in Paris. It's surely one place to visit when in Paris; for lunch or dinner to try their daily changing...More,Date of visit: September 2015,1  ,,
"Inventive cuisine, lovely presentation",innaMontreal,174 reviews,"Reviewed March 23, 2016 ","Reserved by calling 3 weeks in advance and confirmed by calling on the day they asked, so perhaps we were lucky but it was not too difficult. Were in for 3-course 32 euro lunch which only gives a choice of 2 to choose from for...More",Date of visit: March 2016,1  ,,"<span class=""ui_bubble_rating bubble_40""></span>"
Truly a Sublime Night Out,2GETLOST,13 reviews,"Reviewed February 17, 2016 ",A visit to Paris is not complete without a seat at this coveted chef's table. The wine parings were genius in most instances and though pallets differ you are sure to be offered several dishes that effortlessly command your focus. Our service from Ophelia was...More,Date of visit: January 2016,,"<span class=""ui_bubble_rating bubble_50""></span>",
Forget about bio wines,Del L,38 reviews,"Reviewed February 12, 2016 ","So expensive and same combinaison, u do not choose, u have 6 meals and then you wait a bit too much.... More than 2.5 h for diner. The bio wine are very dispointing and so expansive. It is meant to be a hip'place but seriously???...More",Date of visit: November 2015,1  ,"<span class=""ui_bubble_rating bubble_30""></span>",
Awful experience dba restaurant nightmare,Allen F,2 reviews,"Reviewed February 12, 2016 ","I have made two dozen trips to Paris over the years and am a foodie. We stay always in a lovely 5 star hotel and their staff is wonderful and always book our restaurants a month in advance. We always mix bistros, new hip joints...More",Date of visit: February 2016,20  ,"<span class=""ui_bubble_rating bubble_10""></span>",
Lunch,Svetlana S,3 reviews,"Reviewed February 10, 2016 ","Must while in Paris. Making reservation worth the effort. Great service and wonderful food. We did not enjoy one of two desert creations included in pre fix during latest visit, but it changes frequently.",Date of visit: November 2015,,"<span class=""ui_bubble_rating bubble_50""></span>",
Outstanding,newboldimages,44 reviews,"Reviewed February 7, 2016 ","I visited Paris with my work colleagues and the restaurant was booked by my French colleague. He said it was highly regarded and he was not wrong.

We had the 7 course taster menu and the waitress ( who spoke wonderfully good English) was very...More",Date of visit: February 2016,,"<span class=""ui_bubble_rating bubble_50""></span>",
Delectable Dining,Donna C,210 reviews,"Reviewed January 29, 2016 ",Since this is one of the most difficult reservations to get in Paris my husband and I felt fortunate to be able to secure  ( not without some difficulty) a dinner reservation at Septime.  We were definitely not disappointed.  We choose to go with the...More,Date of visit: June 2015,,"<span class=""ui_bubble_rating bubble_50""></span>",
Unbelievable foodie experience GO GO GO,Chezpatrick,3 reviews,"Reviewed January 26, 2016 ",Septime is one of the best meals I have ever eaten and I simply had to write about it. Go for the tasting menu and let the kitchen team work their magic. The service was charming and efficient and I would go again in tomorrow...More,Date of visit: January 2016,,"<span class=""ui_bubble_rating bubble_50""></span>",
"Understandably sought after, loved it ",656pps,78 reviews,"Reviewed January 25, 2016 ","One of the hardest tables to book in Paris and understandably so. Food is perfect, elegant, completely delicious. Service  personable and outstanding. Loved the ambiance of the place. Wines were terrific",Date of visit: January 2016,,"<span class=""ui_bubble_rating bubble_50""></span>",
"Understandably sought after, loved it ",656pps,78 reviews,"Reviewed January 25, 2016 ","One of the hardest tables to book in Paris and understandably so. Food is perfect, elegant, completely delicious. Service  personable and outstanding. Loved the ambiance of the place. Wines were terrific",Date of visit: January 2016,,,
Perfect,Malti S,53 reviews,"Reviewed January 14, 2016 ","I had waited 3 years to eat here, and I was not disappointed.  Firstly, the ambience of the place is great - tables are an appropriate distance apart, the lighting is low (but you can still see your food), the feel of the place is...More",Date of visit: December 2015,2  ,,"<span class=""ui_bubble_rating bubble_50""></span>"
Awesome spot!!,travel_junkiejonb,18 reviews,"Reviewed December 30, 2015 ",This is one of the best restos in Paris. Amazing food and good service for French standards!! You have to reserve weeks in advance to get a table here.,Date of visit: May 2015,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Overhyped,Jackson H,78 reviews,"Reviewed December 9, 2015 ","The food is beautifully presented but, alas, disappointing.  We had the six course tasting menu and the first three courses were fish.  45% of the food was bland and beautiful.  20% was inedible but beautiful.  25% was  better than bland (interesting kind of good??) but...More",Date of visit: December 2015,1  ,"<span class=""ui_bubble_rating bubble_30""></span>",
a hungry girl,Saija m,61 reviews,"Reviewed December 8, 2015 ","It was so hard to find a place to eat this Tuesday afternoon att arr 11. Finally I found, half starving, this place. Got a a glass good white wine and start ordering… I had a view to the kitchen, nine dwarfs sweeting. Food was...More",Date of visit: December 2015,3  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Lunch,Andrew P,5 reviews,"Reviewed December 4, 2015 ","Lunch with my gf. Nice place, 
excellent flavors. 
The dessert was superb.   
We payed 80 euro with a glass of wine, water and two coffee and we will come back.",Date of visit: December 2015,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Wish the chef was more friendly...,Cathy B,21 reviews,"Reviewed December 3, 2015 ",Read about this restaurant through numerous Paris foodie sites.  It was good but not great.  Comes out distant third against David Toutain and Madame Pic. Sad part was two couples were last to leave except for one other table.  We walked by Chef and he...More,Date of visit: December 2015,1  ,"<span class=""ui_bubble_rating bubble_40""></span>",
Wonderful foodie experience!,gschuel,9 reviews,"Reviewed December 1, 2015 ","My girlfriends and I arrived Paris after a long trip, a bit jet lagged and weary.  We had reservations for lunch at Septime on the day of our arrival, as we could not get a dinner reservation.  We desired one exquisite culinary experience in Paris,...More",Date of visit: November 2015,,"<span class=""ui_bubble_rating bubble_50""></span>",
Not memorable. Too hyped up for its own good (or maybe I just have horrible taste).,Suemen,110 reviews,"Reviewed November 28, 2015 ",Considering the fact that it took FOREVER to make a reservation (meaning that I only managed to make a reservation when I physically presented myself in person. I must have tried a thousand times to reserve by phone and on their website but to no...More,Date of visit: October 2015,2  ,"<span class=""ui_bubble_rating bubble_30""></span>",
One of the best,swinifredb,13 reviews,"Reviewed November 22, 2015 ","Original, and delicious food served by attentive, enthusiastic waiters (who will describe your dishes in English if you wish) presented  in a beautifully designed room that is both spare and warm. Vegetables are honored, but the meats and fish are also perfectly cooked. 
There are...More",Date of visit: November 2015,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
One of the best,swinifredb,13 reviews,"Reviewed November 22, 2015 ","Original, and delicious food served by attentive, enthusiastic waiters (who will describe your dishes in English if you wish) presented  in a beautifully designed room that is both spare and warm. Vegetables are honored, but the meats and fish are also perfectly cooked. 
There are...More",Date of visit: November 2015,1  ,,
Nice way to spend lunchtime in Paris,candypongmaomao,6 reviews,"Reviewed November 21, 2015 ","This is one of those places which divides opinion.  Some will say they don't get the hype whilst others say it is quite a delightful place.

My husband and I were there for lunch, which we had to book a month in advance.  It's popularity...More",Date of visit: October 2015,1  ,,"<span class=""ui_bubble_rating bubble_40""></span>"
"Relaxed, flawless service and original, fresh delicious food",AmericanInLondon2013,4 reviews,"Reviewed November 13, 2015 ","My husband and I had an unforgettable Friday lunch with the six-course tasting menu.  The service was professional, calm and friendly - and unobtrusive.  The food was fresh, relatively light and original - and stand-outs were the celeriac 'pasta' ribbons with egg yolk and crushed...More",Date of visit: November 2015,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Dont get they hype,ldjsue,74 reviews,"Reviewed November 9, 2015 ","It was a nice lunch, nothing spectacular. Service average, not particularly friendly.
Food was good - not extraordinary.  If you get in then go as price is reasonable.",Date of visit: November 2015,1  ,"<span class=""ui_bubble_rating bubble_30""></span>",
Difficult to Reserve But Great Food,D T,63 reviews,"Reviewed November 7, 2015 ",This restaurant is so difficult to get a reservation that I’m not sure it is worthwhile—even though I enjoyed the food.  That calendar on their website is enough to cause nightmares after trying over and over and accomplishing nothing.  I thought it was a miracle...More,Date of visit: September 2015,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Superb long lunch,Michele R,2 reviews,"Reviewed November 7, 2015 ","Septime, 80 rue de Charonne, 75011 Paris.  I’m a solo traveler, not a chef, nor am I a restaurant critic, but I love good food, beautifully prepared and presented and was not disappointed.
Once again it was raining as I set off for my lunch...More",Date of visit: September 2015,2  ,"<span class=""ui_bubble_rating bubble_50""></span>",
paris at its best,Felix_G6600,48 reviews,"Reviewed October 30, 2015 ","excellent food,totally fresh,simple ingredients mixed to haute cuisine,great,caring service,interesting wine and beverage-list,one of the very best restaurants in paris,yes,it's woth the sometimes troublesome reservation!",Date of visit: October 2015,,"<span class=""ui_bubble_rating bubble_50""></span>",
The best. ,SnackHunter007,260 reviews,"Reviewed October 30, 2015 ",Wow. Just wow. Such great food. Service in sing and wine list is great. One of my favorite restaurants in the planet. Fantastic.,Date of visit: March 2015,,"<span class=""ui_bubble_rating bubble_50""></span>",
It doesn't worth it,Piera Anastasia R,95 reviews,"Reviewed October 27, 2015 ","We booked this restaurant 1 month in advance for my birthday and we get a table at 19.30. The location is really great, but the food if we can call it like that it's not so good that we can expected, but it's something to...More",Date of visit: October 2015,3  ,"<span class=""ui_bubble_rating bubble_20""></span>",
Best Meal in Paris,J15OEmaryp,6 reviews,"Reviewed October 26, 2015 ","We dined here for lunch in July. It was, by far, the best dining experience we had in Paris. Every dish was perfectly balanced in flavor and the presentation of the food was second to none. We had a table where I could watch the...More",Date of visit: July 2015,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Best Meal in Paris,J15OEmaryp,6 reviews,"Reviewed October 26, 2015 ","We dined here for lunch in July. It was, by far, the best dining experience we had in Paris. Every dish was perfectly balanced in flavor and the presentation of the food was second to none. We had a table where I could watch the...More",Date of visit: July 2015,1  ,,
Didn't disappoint,Jane S,37 reviews,"Reviewed October 15, 2015 ",Another great meal in Paris!  The food was delicious and different than your standard French bistro affair.  We had the tasting menu - which was absolutely fabulous!,Date of visit: September 2015,,,"<span class=""ui_bubble_rating bubble_50""></span>"
Stunning!,ecf1,51 reviews,"Reviewed October 15, 2015 ","This is among the best -- the very best? -- restaurants we've been to in Paris on eight trips over more than 20 years.  It is very hard to get a reservation -- three weeks in advance to the day, and at 12 noon Paris...More",Date of visit: October 2015,,"<span class=""ui_bubble_rating bubble_50""></span>",
Worth the Effort - Very hard to  get a Reservation,missros,41 reviews,"Reviewed October 11, 2015 ",Reservation made the Concierge at our Hotel - he had to try many times but succeeded and advised me once he was able to get a table for 4. The place is very trendy not at all intimidating but very friendly and comfortable. Surprise Set...More,Date of visit: September 2015,,"<span class=""ui_bubble_rating bubble_40""></span>",
Awesome long lunch,CRB333,35 reviews,"Reviewed September 30, 2015 ","What a way to spend our last day in Paris. We had the 6 course menu and loved every dish. The tasting menu includes 2 starters, 2 mains and 2 desserts! Prepare yourself for some tasty surprises. The service was excellent too, with friendly and...More",Date of visit: September 2015,,"<span class=""ui_bubble_rating bubble_50""></span>",
Why go to Paris if you're not going to eat at Septime?,chelseagilson,17 reviews,"Reviewed September 29, 2015 ",I suppose I'll start with what I consider the best.  It would be an absolute shame to go to Paris and not eat at Septime.  The tasting menu is inventive with fresh and flavorful dishes that tickle your tastebuds and leave you wonderfully satisfied.  The...More,Date of visit: September 2015,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Exceptional food,tdav13,31 reviews,"Reviewed September 24, 2015 ",This restaurant was WOW - exceptional. My boyfriend and I love love good resto's and this one was a hit. We treated ourselves out to a nice $ dinner before moving back home from this beautiful city. We obviously had the 7 course 65euro meal...More,Date of visit: September 2015,,"<span class=""ui_bubble_rating bubble_50""></span>",
Lovely place to spend a long relaxed lunch over a very good tasting menu!,John D,11 reviews,"Reviewed September 16, 2015 ","The food here is exceptional with some really interesting and original flavour combinations. What makes this place special though is the enthusiasm and friendliness of the staff. If you feel like an exciting, and sometimes challenging, ride through their wine list then go with their...More",Date of visit: September 2015,,"<span class=""ui_bubble_rating bubble_50""></span>",
Great lunch!,ParisKat,116 reviews,"Reviewed September 13, 2015 ","Because of so many great reviews and mentions in food and travel magazines, I was really looking forward to lunch at Septime.  I was not disappointed, and in fact had a perfect lunch:  great food in portions that were not huge, really good wine, and...More",Date of visit: September 2015,,"<span class=""ui_bubble_rating bubble_50""></span>",
Wonderful French Fare,mary m,22 reviews,"Reviewed September 10, 2015 ","The food here is excellent! The menu changes daily because the chef buys local. The result is wonderful food. Sadly, I could only get reservations for lunch during our trip- if you're interested in this fantastic food you'll need to plan ahead.",Date of visit: June 2015,,"<span class=""ui_bubble_rating bubble_40""></span>",
Wonderful French Fare,mary m,22 reviews,"Reviewed September 10, 2015 ","The food here is excellent! The menu changes daily because the chef buys local. The result is wonderful food. Sadly, I could only get reservations for lunch during our trip- if you're interested in this fantastic food you'll need to plan ahead.",Date of visit: June 2015,,,
Impossible to book but really worth it,savask,195 reviews,"Reviewed September 6, 2015 ","This is one of the very highly demanded palces in Paris. It has it all that is why: Hipster looks, young multi-awarded chef, nice crowds, innovative cuisine. The menu is set so you have no choice ( expect if you are vegetarian so a replacement...More",Date of visit: July 2015,,,"<span class=""ui_bubble_rating bubble_40""></span>"
Absolutely fantastic,mik_jordan,23 reviews,"Reviewed August 8, 2015 ","That is one of our best gastronomy experience in Europe. Fantastic food, fresh and perfectly prepared. Absolutely recommendable.",Date of visit: July 2015,,"<span class=""ui_bubble_rating bubble_50""></span>",
Book three weeks in advance,Ariel_Xianne,42 reviews,"Reviewed August 2, 2015 ","Septime is probably one of the toughest restaurants to get a reservation in Paris. However, giving consideration to the price we paid (about 40 euro per person), the food here is just PERFECT. They only serve set menu which never goes wrong. This restaurant also...More",Date of visit: April 2015,7  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Finally found a table!,Flami1990,205 reviews,"Reviewed July 30, 2015 ","After months of trial I finally get a table at Septime.

Cozy restaurant in the 11th arrondisement offering an incredible culinary experience!

Unfortunately the dessert was nothing special but overal the dinner was great! Curious to come back to experience a new proposal of the...More",Date of visit: July 2015,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Delightful Lunch,nhes,53 reviews,"Reviewed July 25, 2015 ","Yes, reservations are difficult for to get but try calling for lunch. I never could get the website system to work but made a lunch reservation by phone about 3 weeks out. 
The lunch was delicious, lighter than some of our other meals and a...More",Date of visit: July 2015,2  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Amazing!,Thecantys,14 reviews,"Reviewed July 20, 2015 ",We visited for lunch as it was the only table available during our stay in Paris and we had the most amazing food and wine. The best plate of food I have ever tasted. Book yourself a table here if you can get one! Outstanding...More,Date of visit: July 2015,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Good food but had higher expectations,BeneLou75,27 reviews,"Reviewed July 15, 2015 ","I had to book 3 weeks in advance and had heard so much about this restaurant that I was really excited about it. The food was good, the service as well but I was expecting something better and I was a bit disappointed. Don't get...More",Date of visit: July 2015,,"<span class=""ui_bubble_rating bubble_40""></span>",
Original food with fresh ingredients but limited selection,workingmom001,41 reviews,"Reviewed July 12, 2015 ","Found Septime in 2015 Lonely Planet guidebook.  Made lunch reservation for three of us that same morning.  Did not realize that the one menu had only 2 appetizers, 2 mains, and 2 desserts from which to choose.  Really enjoyed 1 of the appetizers (raw tuna...More",Date of visit: June 2015,,"<span class=""ui_bubble_rating bubble_30""></span>",
Hard to get a table,EuroEpicure,13 reviews,"Reviewed July 8, 2015 ","If you can get a table - go! 
Interesting and inventive food. 
Opt for lunch as it is affordable. 
After they got their Michelin start it is
even harder to get a table.",Date of visit: April 2015,,"<span class=""ui_bubble_rating bubble_50""></span>",
Hard to get a table,EuroEpicure,13 reviews,"Reviewed July 8, 2015 ","If you can get a table - go! 
Interesting and inventive food. 
Opt for lunch as it is affordable. 
After they got their Michelin start it is
even harder to get a table.",Date of visit: April 2015,,,
Booking,afp64,5 reviews,"Reviewed July 4, 2015 ","I have tried to book this a place at Septime for my wife's birthday. From the website, you are adivised to book online, with a cumbersome system that, in theory, opens the booking only 21 days before each date. I wanted to be sure of...More",Date of visit: July 2015,6  ,,"<span class=""ui_bubble_rating bubble_10""></span>"
My favourite restaurant,Dave P,5 reviews,"Reviewed June 26, 2015 ","I know that these days it's pretty impossible to get a table, and that the food is getting slightly more 'out there'. But I've quite simply never been disappointed. 

They're not giving the food away, but there's a real value for money there. The dishes...More",Date of visit: February 2015,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Truly terrific.  Get your concierge to help you with reservations.  Do it far in advance.,moodbeast,100 reviews,"Reviewed June 18, 2015 ","It's a shame the previous review gave Septime an angry 2 star review because our experience was the total opposite.  We loved our 7 course dinner.  The portions weren't big, but they certainly weren't small either.  My husband was very pleased with the wine pairing...More",Date of visit: June 2015,,"<span class=""ui_bubble_rating bubble_50""></span>",
Inexcusable!,Theroux804,22 reviews,"Reviewed June 17, 2015 ","The owners and Chef Bertrand Grebaut really need to take a good hard look at what they are trying to achieve here.  Many reviewers talk about the difficulty in booking a table at Septime, I walked in off the street and was shown to a...More",Date of visit: June 2015,3  ,"<span class=""ui_bubble_rating bubble_20""></span>",
Good hipster food,SasquatchShu,38 reviews,"Reviewed June 8, 2015 ","After reading many reviews about this restaurant about the hail and hellfire traversed to get a booking I must say it was not too difficult in our case. We called exactly about 3 weeks before estimated date and happily were given a lunch table. 

The...More",Date of visit: April 2015,1  ,"<span class=""ui_bubble_rating bubble_40""></span>",
Exquisite ,Steven M,60 reviews,"Reviewed May 30, 2015 ","I worked very hard to get this reservation for lunch, but it was definitely worth the work.  They only take reservations exactly three weeks prior to the day on their website - reserve early in the day because they will all be gone quickly.  I...More",Date of visit: May 2015,2  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Good but not extraordinary.,Raymond P,48 reviews,"Reviewed May 26, 2015 ","Given the hype and the long wait to book a table, there are expectations. Let me be clear .. a 3 course lunch menu for Euro 30 is more than correct with a wine list that is extensive and also correctly priced. The staff (...More",Date of visit: May 2015,,"<span class=""ui_bubble_rating bubble_40""></span>",
Overrated,Fauvel,35 reviews,"Reviewed May 26, 2015 ","Given how laborious it was to get a table here (many, many phone calls were needed to catch a human being--the online system didn't work for me), I had high expectations. I found Septime to be very good but really not excellent. I am a...More",Date of visit: May 2015,5  ,"<span class=""ui_bubble_rating bubble_30""></span>",
"Strong start, questionable end",Sylvie07,32 reviews,"Reviewed May 25, 2015 ","Our reservation was for 8:00 pm and we were seated immediately. The only option at Septime was the seven course chef’s menu for 65 Euro per person. In summary, we felt there were great entrees, good main, good service, ending with a strange ""transition"" dessert....More",Date of visit: May 2015,,"<span class=""ui_bubble_rating bubble_40""></span>",
"Strong start, questionable end",Sylvie07,32 reviews,"Reviewed May 25, 2015 ","Our reservation was for 8:00 pm and we were seated immediately. The only option at Septime was the seven course chef’s menu for 65 Euro per person. In summary, we felt there were great entrees, good main, good service, ending with a strange ""transition"" dessert....More",Date of visit: May 2015,,,
Superb experience,Lm72,14 reviews,"Reviewed May 24, 2015 ","A friend recommended Septime and explained that you have to book on-line 21 days in advance.  Obtaining a reservation was not easy but it was definitely worth it.  The setting is slightly rustic, which we liked, and the three course lunch menu was priced at...More",Date of visit: May 2015,,,"<span class=""ui_bubble_rating bubble_50""></span>"
Feeling abused,kkovach,158 reviews,"Reviewed May 18, 2015 ","A party of 6 of us, all friends from the states, decided to have our final dinner at Septime. In our opinion, this is the most overrated restaurant in Paris.  It was an hour after sitting down that we had our first course...an unmemorable lump...More",Date of visit: May 2015,6  ,"<span class=""ui_bubble_rating bubble_10""></span>",
loved septime,travelgurl1234,38 reviews,"Reviewed May 17, 2015 ","this was a bit out of our way, but we ubered it to septime for a tres magnifique lunch. the food was outstanding and the wine list great. we loved the atmosphere too. this is a place a would go back to over and over.",Date of visit: November 2014,,"<span class=""ui_bubble_rating bubble_50""></span>",
A relaxing atmosphere with some fine food,Arielle Fu Hua Y,23 reviews,"Reviewed May 16, 2015 ","After my meal here, I booked Septime right away for two weeks later! 
First time here I had the 30 euro lunch menu and was amazed at how good the food was! Although made with simple, every-day ingredients, there is much skill to the food...More",Date of visit: May 2015,,"<span class=""ui_bubble_rating bubble_50""></span>",
Good food but may not worth the hassle,Hsiao-Hui W,82 reviews,"Reviewed May 16, 2015 ","This place, if book online, needs to be book exactly 3 weeks ahead, not a day early, not a day late. We went on a raining hoiday for lunch and the place was packed. Since it was a holiday, so for lunch only tasting menu...More",Date of visit: May 2015,,"<span class=""ui_bubble_rating bubble_30""></span>",
Exquisite cuisine ,ShoriSmith,11 reviews,"Reviewed May 9, 2015 ","Small, delicate , artistic designed all tasty dishes which gathers the taste of the season and the chef. Chapeau. I would avoid port and sea food",,,"<span class=""ui_bubble_rating bubble_40""></span>",
"Delicious food, impeccable service, and rustic chic décor!",Joobert,31 reviews,"Reviewed May 2, 2015 ","We arrived at Septime hungry for lunch, and with high hopes after reading so many good reviews. First and foremost, the service was fantastic. The waiters were attentive without being overbearing. They took their time to explain each menu item. The presentation and portion size...More",Date of visit: April 2015,3  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Good Food and Great Service,Chat1001,5 reviews,"Reviewed May 2, 2015 ","I was so excited to finally made a reservation at Septime and realized I made it in the wrong date.  Judith, was very accommodating and worked her magic to get us in for lunch.   I thought it would not happen as we had very limited...More",,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Great lunch,Joe W,4 reviews,"Reviewed May 2, 2015 ","The food was spectacular so was the service. If you can get in, it's a most go. Make sure to reserve a seat!",,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Great lunch,Joe W,4 reviews,"Reviewed May 2, 2015 ","The food was spectacular so was the service. If you can get in, it's a most go. Make sure to reserve a seat!",,1  ,,
Good but not outstanding,TandTSwitzerland,813 reviews,"Reviewed May 1, 2015 ","I heard may good things about this place, most reviews are excellent, the chef is said to be one of the new shooting stars in Paris, so I had high expectations which were not fully met.

The reservation process is a nightmare - first I...More",Date of visit: April 2015,5  ,,"<span class=""ui_bubble_rating bubble_40""></span>"
Foodie heaven,carnage99,147 reviews,"Reviewed April 29, 2015 ",I loved this place. Thoughtful menu and service. A good change from traditional French food that most restaurants push at tourists. The degustation was perfect. Every course was delicious. Book online - No problems with a PC but no luck with iPad/iPhone.,Date of visit: April 2015,,"<span class=""ui_bubble_rating bubble_50""></span>",
Hugely underrated. Superb,travelaussiefamily,254 reviews,"Reviewed April 8, 2015 ",Septime is hard to get into. We booked by calling in the middle of the night from Australia weeks in advance. It was well worth it! The food is divine. We enjoyed the 6 course degustation lunch. The flavours were superb. Service was first class....More,,1  ,"<span class=""ui_bubble_rating bubble_40""></span>",
Dinner,Girodot,57 reviews,"Reviewed March 7, 2015 ","We have tried for a few months to get a table, never managed. Last night we took our chance and they had place availible at the counter. Not very comfortable, but the food and service was amazing. Definately one of my favourites in Paris",Date of visit: March 2015,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Amazing!!,carlabecc,20 reviews,"Reviewed March 3, 2015 ","An exceptional culinary experience !! Just amazing !! Six extraordinary dishes , a treat for your palate !!",Date of visit: February 2015,2  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Incredible,TheMcGonigals,107 reviews,"Reviewed February 26, 2015 ","What's not to like about Septime? It's one of Paris' newest Michelin starred restaurants, it serves incredible food and the prices are extremely reasonable!

The Septime concept is simple - the menu is a surprise - the only thing your server asks is if you've...More",,3  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Had a nice time,nouglytourist,319 reviews,"Reviewed February 18, 2015 ","Passed by this restaurant a few times and noticed that it is always packed. Many trendy restaurants have opened up in the past few years in the 11th arrondissement. 

Like the modern decor. The heaters running up the length of the columns are very original....More",Date of visit: February 2015,,"<span class=""ui_bubble_rating bubble_40""></span>",
Great restaurant,Gerald E,27 reviews,"Reviewed February 14, 2015 ","This place is what a great restaurant is about. Food is very inventive and extremely tasty Staff really cares and knows how to give professional friendly service. Not cheap but worth more then you  pay
Every dish was a beautiful surprise Go and enjoy",Date of visit: February 2015,2  ,"<span class=""ui_bubble_rating bubble_50""></span>",
A new wave of Michelin stars,Loulwa_Kaloyeros,749 reviews,"Reviewed January 18, 2015 ",We went for lunch and it is incredible value at 30$. As we were two we ordered all that was on the menu that day and nothing to regret. Everything was exquisitely cooked and presented. We had oysters in a mushroom broth and roasted heliantis...More,Date of visit: January 2015,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
A new wave of Michelin stars,Loulwa_Kaloyeros,749 reviews,"Reviewed January 18, 2015 ",We went for lunch and it is incredible value at 30$. As we were two we ordered all that was on the menu that day and nothing to regret. Everything was exquisitely cooked and presented. We had oysters in a mushroom broth and roasted heliantis...More,Date of visit: January 2015,1  ,,
Where did that Michelin Star come from?,ArnoldKo,27 reviews,"Reviewed January 4, 2015 ","At the time I had lunch at Septime, it had been awarded one Michelin Star and was listed as number 53 in the San Pellegrino Restaurant List. Needless to say, my hopes were very high..

It started out well with a friendly reception by the...More",Date of visit: July 2014,7  ,,"<span class=""ui_bubble_rating bubble_20""></span>"
Great materials but boring,Sebastien_Leseine,1 review,"Reviewed December 18, 2014 ","After hearing about Septime for a long time, we finally had the opportunity to visit the place while on vacation and my expectations were pretty high. It unfortunately ending up disapointing.

Every dishes felt like it was great ingredients simply placed on a plate but...More",Date of visit: June 2014,2  ,"<span class=""ui_bubble_rating bubble_30""></span>",
