rev_title,author,author_reviews,ratingdate,text,visitdate,likes,rating
Hard to get a table,EuroEpicure,13 reviews,"Reviewed July 8, 2015 ","If you can get a table - go! 
Interesting and inventive food. 
Opt for lunch as it is affordable. 
After they got their Michelin start it is
even harder to get a table.",Date of visit: April 2015,,5
Booking,afp64,5 reviews,"Reviewed July 4, 2015 ",,Date of visit: July 2015,6  ,1
My favourite restaurant,Dave P,,"Reviewed June 26, 2015 ","I know that these days it's pretty impossible to get a table, and that the food is getting slightly more 'out there'. But I've quite simply never been disappointed.

They're not giving the food away, but there's a real value for money there. The dishes are well worked and the advice on the wine has always been impeccable. Unfortunately, some may find themselves disappointed because of the expectation that accompanies such a long wait (not to mention the hype).

If you go with an open mind, you'll come away happy. I always have.",Date of visit: February 2015,1  ,5
Truly terrific. Get your concierge to help you with reservations. Do it far in advance.,moodbeast,,"Reviewed June 18, 2015 ","It's a shame the previous review gave Septime an angry 2 star review because our experience was the total opposite. We loved our 7 course dinner. The portions weren't big, but they certainly weren't small either. My husband was very pleased with the wine pairing (he knows a fair amount, more than I). There was a couple beside us who had some pretty ridiculous food ""allergies"" and they managed to serve them some substantial dishes, and I didn't think the server had any kind of attitude about it. We tried our best to speak French, but the staff were very accommodating and spoke English as well. I wouldn't take children here. The atmosphere is more grown up. Plenty of foodie tourists, since this place gets a lot of press. The reservation system online is a bit much. That was the only drawback for us. Would love to come back again. I didn't think the price was expensive at all. Comparable with San Francisco. Mid-priced ($140 pp WITH wine pairings).",Date of visit: June 2015,,5
Inexcusable!,Theroux804,,"Reviewed June 17, 2015 ","The owners and Chef Bertrand Grebaut really need to take a good hard look at what they are trying to achieve here. Many reviewers talk about the difficulty in booking a table at Septime, I walked in off the street and was shown to a table. ""Lucky fella"" I hear you say, not a bit of it! It's true I'd read a few articles and was looking forward to the experience, I was also hungry, generally a prerequisite of mine for having dinner.

Well, the set menu of seven tasting plates is not going to do it for you, I promise. Tiny portions, combinations that have no place on the same plate, extremely long waiting periods between courses and paired wines that are in some cases so extreme that you leave the restaurant with the knowledge that tomorrow morning has ""hangover"" written all over it. You will also leave hungry and considerably poorer.

A family of four were having dinner next to me, I genuinely felt sorry for them. They had arrived before me and yet their plates were arriving after mine and with even longer waiting periods, they were obviously hungry and were visibly embarrassed at the meagre portions which may well have satisfied a Parisian catwalk queen but were never going to satisfy anyone not on a strict diet.

So Chef Bertrand, was it just a bad night? I won't be back to find out, you may be an innovative chef but it's time you put your customers first.",Date of visit: June 2015,3  ,2
Good hipster food,SasquatchShu,,"Reviewed June 8, 2015 ","After reading many reviews about this restaurant about the hail and hellfire traversed to get a booking I must say it was not too difficult in our case. We called exactly about 3 weeks before estimated date and happily were given a lunch table.

The restaurant itself is situated slightly out of the way, not in the traditional areas one might consider foodie central as are many hipster restaurants the world over. We went for the tasting menu which at the time was good but nothing that I can recall specifically 2 months down the line.

Fresh produce, attentive service, nice albeit cramped decor. Perhaps not a destination place but if you can get a booking, why not.",Date of visit: April 2015,1  ,4
Exquisite ,Steven M,,"Reviewed May 30, 2015 ","I worked very hard to get this reservation for lunch, but it was definitely worth the work. They only take reservations exactly three weeks prior to the day on their website - reserve early in the day because they will all be gone quickly. I read the Perierre ratings that drew me to this place. They do have bar seats that seemed to be open for lunch, but I wouldn't risk it and get the reso.
It is a quaint little restaurant with a beautiful open design and great view of the kitchen. The staff were very friendly and spoke wonderful English to get us through a meal. They were only offering a prix fix menu because it was a Holiday. We did the pairing a it was perfect.
1-bonito trout, mango and zucchini
2- pea purée, strawberry, fava bean, truffle oil - Pinot Gris
3 - buffa cheese sauce, white asparagus and pickled onion - champagne
4- Chardonnay - torbot, spinach/white spinach and artichoke purée
5- orange wine - Italian - quail, spinach, mustard leaf and herb purée
Chèvre course - with beer
6- Vergano Mauro vermouth - elderflower ice cream and rhubarb purée
7- caramel mousse, salted caramel - cider
The most surprising course the Tobot which was perfectly prepared - flaky and very moist. The food was out of this world! The Vergano Vermouth was superb and was a surprise to myself and my husband - delightful.
If I could give a higher star rating I would.

Food: 40/40
Atmosphere/Decor: 20/20
Staff: 20/20
Value: 20/20

Total: 100/100",Date of visit: May 2015,2  ,5
Good but not extraordinary.,Raymond P,,"Reviewed May 26, 2015 ","Given the hype and the long wait to book a table, there are expectations. Let me be clear .. a 3 course lunch menu for Euro 30 is more than correct with a wine list that is extensive and also correctly priced. The staff ( more than 12 that I could count) were pleasant and the service good if a bit impersonal since different people did different things. So on that score Septime is good and good value for money. What it isn't, is extraordinary. All the dishes are very well presented and technically cooked to perfection. But after two mouthfuls there is just the same taste and tone throughout the dish. There is no variation or surprise so it becomes, frankly, a bit boring and unsatisfying. In short, technique has precedence over the 'wow factor and 3 weeks is too long to wait for that.",Date of visit: May 2015,,4
Overrated,Fauvel,,"Reviewed May 26, 2015 ","Given how laborious it was to get a table here (many, many phone calls were needed to catch a human being--the online system didn't work for me), I had high expectations. I found Septime to be very good but really not excellent. I am a big foodie and love strange flavor combinations but many of the dishes just didn't work (e.g. strawberries in a sweetened pee puree as one of the dessert courses). All in all, it was a perfectly pleasant experience but nothing extraordinary and certainly not worth all of the work of getting a reservation. The highlight was actually the service. The waiters are all attentive without being snobby or cold. The people working at the bar also knew their wines backwards and forwards.",Date of visit: May 2015,5  ,3
"Strong start, questionable end",Sylvie07,,"Reviewed May 25, 2015 ","Our reservation was for 8:00 pm and we were seated immediately. The only option at Septime was the seven course chef’s menu for 65 Euro per person. In summary, we felt there were great entrees, good main, good service, ending with a strange ""transition"" dessert.

For the entrees, the zucchini with lightly cooked rhubarb was served with soft goat cheese under it, and was good. The soup dish, my personal favorite, was exquisite, with green beans presented in a bowl with some herbs (mint and chives, for example) that the server then covered with a tasty light fish broth that had been infused with herbs. The white asparagus and fish course was delightful. My one complaint regarding the mains was that the chicken was rather rubbery, but tasted good.

As for drinks, I had a glass of rosé that grew on me, followed later by a glass of Chablis that was lovely. My husband enjoyed his Deck-Donahue Beaupres Spring Pale made in Montreuil. Be aware that the small bottle of (eco?) tap water costs 4.5 Euro which we felt was excessive.

The servers patiently explained components of the various dishes, often trying in English, although at times, the code-switching made it more difficult than if they had consistently used French. (I speak French and my husband is learning.) One issue, no matter which language, is that we had probably 6 different servers throughout the evening, which made service seem disorganized.

The meal seemed to start strongly but we were truly disappointed when the first dessert-y course was brought to the table. Here is the excerpt of our conversation at that point:
The server, placing plates on our table: C’est une mousse aux petits pois avec des fraises et des petites pousses de petits pois.
R: Did she just say peas?
Me: She did…

This, to say the least, was a strange dish. The pea mousse was sweetened and came with sweet strawberries. I wanted to love it! Although the color combination was quite nice, I kept hoping the aftertaste of peas would leave my mouth. It wasn’t pleasant. David Lebovitz, if you are listening, please explain! Help me understand! We engaged one of the servers in a conversation about this dish, still doubting that peas were implicated in a dessert. She confirmed it and explained that it was meant to serve as a transition from the last main dish to the sweeter boule of ice cream at the end. J’aurais pu m’en passer, merci! But overall, the experience at Septime was good (better than average, for sure).

Attendez, one last comment: the noise level is difficult, due to terrible acoustics with the cement walls. We suggest adding some acoustic tile to ameliorate this.",Date of visit: May 2015,,4
Superb experience,Lm72,14 reviews,"Reviewed May 24, 2015 ",,Date of visit: May 2015,,5
Feeling abused,kkovach,,"Reviewed May 18, 2015 ","A party of 6 of us, all friends from the states, decided to have our final dinner at Septime. In our opinion, this is the most overrated restaurant in Paris. It was an hour after sitting down that we had our first course...an unmemorable lump of chevre with slices of raw zucchini on top. This awful course was topped by the fish course of a white fish in a thick, heavy white sauce with no flavor topped with sliced white radishes. Oh, did I mention that this was served on a white plate? The only course that was decent was the steak tartar. The service between courses was appalling with no explanation. If you enjoy paying a fortune for inferior service and inedible food this is the place for you.",Date of visit: May 2015,6  ,1
loved septime,travelgurl1234,38 reviews,"Reviewed May 17, 2015 ","this was a bit out of our way, but we ubered it to septime for a tres magnifique lunch. the food was outstanding and the wine list great. we loved the atmosphere too. this is a place a would go back to over and over.",Date of visit: November 2014,,5
A relaxing atmosphere with some fine food,Arielle Fu Hua Y,,"Reviewed May 16, 2015 ","After my meal here, I booked Septime right away for two weeks later!
First time here I had the 30 euro lunch menu and was amazed at how good the food was! Although made with simple, every-day ingredients, there is much skill to the food preparation, added with a bit of creativity.
My second time here, only their ""carte blanche"" offer was available: 6 dishes for 60 euros. Everything up until the 2 desserts was great. For dessert, it was ice cream with baked granola, and strawberries with fresh cream. Not too impressive at all--which is why i only gave it 4 stars. I wish they had a better ending to the entire meal as the entrees and mains were great.
Either way, still very very good value meal!
Check out more reviews on Paris restaurants on my blog: www.365inparis.wordpress.com",Date of visit: May 2015,,5
Good food but may not worth the hassle,Hsiao-Hui W,,"Reviewed May 16, 2015 ","This place, if book online, needs to be book exactly 3 weeks ahead, not a day early, not a day late. We went on a raining hoiday for lunch and the place was packed. Since it was a holiday, so for lunch only tasting menu available, 60 euros for 6 courses. The first two entrees were not bad, slices of zucchini with some cheese and beef carpaccio. Two mains were white asparagus with fish and quail, both cooked deliciously. Two desserts were kind of diapointment, I dont feel that the chef put much thoughts into deserts as the previous dishes. Overall, it was a good eat but may not worth the troubles of booking three weeks in advance.",Date of visit: May 2015,,3
Exquisite cuisine ,ShoriSmith,11 reviews,"Reviewed May 9, 2015 ","Small, delicate , artistic designed all tasty dishes which gathers the taste of the season and the chef. Chapeau. I would avoid port and sea food",,,4
"Delicious food, impeccable service, and rustic chic décor!",Joobert,,"Reviewed May 2, 2015 ","We arrived at Septime hungry for lunch, and with high hopes after reading so many good reviews. First and foremost, the service was fantastic. The waiters were attentive without being overbearing. They took their time to explain each menu item. The presentation and portion size were on point. So what about the food? It was delicious! The meals were well balanced and flavourful. Finally, the décor was rustic, yet chic. The small details such as using an indie gin bottle as a water carafe, Aesop brand hand soap in the restroom, and the antique mirrors mixed with distressed wood tables, really made the atmosphere so homey and cozy. If you have a chance, definitely give this restaurant a try! You won't regret it!",Date of visit: April 2015,3  ,5
Good Food and Great Service,Chat1001,,"Reviewed May 2, 2015 ","I was so excited to finally made a reservation at Septime and realized I made it in the wrong date. Judith, was very accommodating and worked her magic to get us in for lunch. I thought it would not happen as we had very limited time in Paris but she did it. The service was great and the food were tasty, great value for a good lunch experience in Paris. Highly recommended.",,1  ,5
Great lunch,Joe W,4 reviews,"Reviewed May 2, 2015 ","The food was spectacular so was the service. If you can get in, it's a most go. Make sure to reserve a seat!",,1  ,5
Good but not outstanding,TandTSwitzerland,813 reviews,"Reviewed May 1, 2015 ",,Date of visit: April 2015,5  ,4
Foodie heaven,carnage99,147 reviews,"Reviewed April 29, 2015 ",I loved this place. Thoughtful menu and service. A good change from traditional French food that most restaurants push at tourists. The degustation was perfect. Every course was delicious. Book online - No problems with a PC but no luck with iPad/iPhone.,Date of visit: April 2015,,5
Hugely underrated. Superb,travelaussiefamily,,"Reviewed April 8, 2015 ","Septime is hard to get into. We booked by calling in the middle of the night from Australia weeks in advance. It was well worth it! The food is divine. We enjoyed the 6 course degustation lunch. The flavours were superb. Service was first class. There were a lot of waiters but at no time did we feel over serviced or scrutinised. It all fell into the background, yet if ever we needed anything someone was right there. The staff were very observant that our two daughters each didn't like one of the degustation courses and they with no fuss whisked them away and brought an alternatives which in both cases was delightful. The ambience of the restaurant is very relaxed so no need to be dressed beyond smart casual. ",,1  ,4
Dinner,Girodot,57 reviews,"Reviewed March 7, 2015 ","We have tried for a few months to get a table, never managed. Last night we took our chance and they had place availible at the counter. Not very comfortable, but the food and service was amazing. Definately one of my favourites in Paris",Date of visit: March 2015,1  ,5
Amazing!!,carlabecc,20 reviews,"Reviewed March 3, 2015 ","An exceptional culinary experience !! Just amazing !! Six extraordinary dishes , a treat for your palate !!",Date of visit: February 2015,2  ,5
Incredible,TheMcGonigals,,"Reviewed February 26, 2015 ","What's not to like about Septime? It's one of Paris' newest Michelin starred restaurants, it serves incredible food and the prices are extremely reasonable!

The Septime concept is simple - the menu is a surprise - the only thing your server asks is if you've any allergies or strong dislikes. After that you're in for 7 courses of surprises.....

A word of warning though, Septime is ALWAYS fully booked, make sure you call 3 weeks in advance and be persistent - it's well worth the effort!",,3  ,5
Had a nice time,nouglytourist,,"Reviewed February 18, 2015 ","Passed by this restaurant a few times and noticed that it is always packed. Many trendy restaurants have opened up in the past few years in the 11th arrondissement.

Like the modern decor. The heaters running up the length of the columns are very original. The lighting is just right: not too dark nor too bright.

We had the tasting menu (Carte Blanche Soir) for €65 per person.

The server who took our order (man with a hipster red, bushy beard and bad attitude) told us in rude tone when we asked what the dishes would be: I can't tell you now. Then, he walked away. Uh, no, we didn't expect him to go into detail right then and there about each and every dish we'd be served but he could have given us some indication of what we'd be eating (i.e. seafood, red meat, etc.) instead of responding so curtly. The other servers were polite and took the time to explain the dishes to us. They also didn't hestitate to ensure that our bread basket was filled. The bread, btw, is from Maison Landemaine and is wonderful.

A lot of work went into preparing and presenting each dish and their efforts were not wasted on us. We appreciated the blend of different flavours and textures. They offered us an appetiser of deep fried brussel sprouts served with a creamy sesame seed sauce. Cannot remember all of the dishes but can tell you that the highlights were: the bok choy with hake (delicious) in a rich sauce and the pan fried Jerusalem artichokes (topinambour) with grated ricotta (equally delicious). The only dish I didn't like was one with squid and fennel in a lemon sauce because it was a tad too sour. Also the chicken they served (poularde) was dry and difficult to cut.

You can have cheese for an extra €9. We opted for two desserts. We liked the first one with citrus fruits topped with whipped cream but could have gone without the second dessert of apple sauce with caramel.

When I made the reservation they told us that we had our table from 7:30 to 9:30 pm as they have a second service at 9:30 pm. We arrived on time and left at 9:35 pm. They did not rush us at all. We saw the table next to ours cleared and they seated people for the second service right away.

Dinner for two with a glass of wine and sparkling water was about €150.

Reserve at least a month in advance. They confirm your reservation the day before.",Date of visit: February 2015,,4
Great restaurant,Gerald E,27 reviews,"Reviewed February 14, 2015 ","This place is what a great restaurant is about. Food is very inventive and extremely tasty Staff really cares and knows how to give professional friendly service. Not cheap but worth more then you  pay
Every dish was a beautiful surprise Go and enjoy",Date of visit: February 2015,2  ,5
A new wave of Michelin stars,Loulwa_Kaloyeros,,"Reviewed January 18, 2015 ","We went for lunch and it is incredible value at 30$. As we were two we ordered all that was on the menu that day and nothing to regret. Everything was exquisitely cooked and presented. We had oysters in a mushroom broth and roasted heliantis with mushrooms and a cheese dressing for starters. Followed by squid in an orange sauce with sea urchins and a poultry dish. Followed by a cheese platter - enough for two and the most exquisite finale to our meal, the grilled Sicily clementine with covered in a thin layer of caramelized sugar with a sorbet and fromage frais.
Lovely atmosphere, very gracious staff, delicious food in a cosy setting. What else do you want from a restaurant?",Date of visit: January 2015,1  ,5
Where did that Michelin Star come from?,ArnoldKo,27 reviews,"Reviewed January 4, 2015 ",,Date of visit: July 2014,7  ,2
Great materials but boring,Sebastien_Leseine,,"Reviewed December 18, 2014 ","After hearing about Septime for a long time, we finally had the opportunity to visit the place while on vacation and my expectations were pretty high. It unfortunately ending up disapointing.

Every dishes felt like it was great ingredients simply placed on a plate but something was missing to bring everything together as one dish.

Although there is no doubt that there are skilled people in kitchen, the overal gustative experience was pretty boring and not worth the cost in my opinion.",Date of visit: June 2014,2  ,3
Eel. I love eel so much.,JennaPrice,,"Reviewed December 18, 2014 ",Hard to get good eel unless you want Japanese. Here it's in a soup with pear and cabbage and each flavour separate but working well together. Lively food combinations which probably wouldn't occur to most home cooks but all delicious - plus really great vegetables. (Mostly) cheerful hipster waiters and an intense but quiet kitchen - and the wine waiter made good by-the-glass suggestions for us.,Date of visit: December 2014,1  ,5
An interesting experience,flame1982uk,,"Reviewed December 3, 2014 ","We had heard great things about Septime. And there's no doubt flashes of brilliance were evident...the steak tartare at the beginning of the meal was outstanding. As was the delicious bread and warmth and passion of the staff. But of the 7 course set menu we really only enjoyed 2 of the courses. Maybe just our personal taste, but a broth with foie gras didn't deliver, the foie gras chunks delivering an unpleasant slimy texture. Our fish dish was served extremely rare...we enjoy sushi but this half way house didn't sit right. And dessert plates were average in the extreme. The wine list was also hit and miss. We placed ourselves in the hands of the sommelier who made some strange and rather polarising choices. We felt the focus was too heavily weighted on 'organic' and 'natural' rather than simply what tastes delicious. ",,,3
Nice but overrated,Zabapolka,,"Reviewed November 18, 2014 ","Second time in this restaurant after a year of absence unfortunatelly disapointed. Warm atmosphere and friendly service, but food very basic. Lack of imagination in creating the dishes, simple although perfectly cooked meat and fish. Not interesting enough to wait two months for the reservation. Wine list organic, unfortunately of mine and my partner's tastes. ",Date of visit: November 2014,,3
Gastronomic tour of Paris,276brucem,,"Reviewed November 13, 2014 ","We had dinner at Septime at the beginning of the month as part of a week-long eating tour of Paris to celebrate my brother in law's 60th birthday. He selected the restaurants and wines, and we went along for the ride. And what a ride it was! The tasting menu at Septime was marvelous, and as a tip, don't miss the duck. It was the best I've had in Paris in a week of having duck served different ways. The restaurant was full, and that's a good sign of an excellent restaurant.

I very much enjoyed the entire experience - food, wine, ambience, and expertise of the server. One additional hint: the restaurant does not have a fully stocked bar, so don't have high expectations that you'll have a good vodka there.",Date of visit: November 2014,1  ,5
Fabulous tasting menu that did not disappoint.,Randall P,76 reviews,"Reviewed November 5, 2014 ",Really enjoyed our experience here. Unique dishes that respected the ingredients without trying too hard! The atmosphere was refreshing too!,Date of visit: October 2014,1  ,5
"Maybe it was us, not them",butch14nj,,"Reviewed October 14, 2014 ","Our lunch at Septime two years ago was fabulous........5 star. This time we booked for dinner. On this night there was no menu to select from because it was ""a special seven course surprise menu"". No choices just give us what you are allergic to or just don't like. I guess our list was not long enough. We started off with raw sea bass and a dish of raw veal( I don't eat raw fish but I never told them I also don't eat raw meat. Next came a lettuce salad with cheese for me and with a seafood foam for my wife.......just fair. Next was a watercress soup with large oyster which would have been great but the soup was quite bitter. Next was a dish of grilled cuttlefish (squid) which neither of us really eat. Same for the next course, lightly cooked sweetbreads. Fortunately, dessert was very good as was the bread. With wine by the glass, the meal was 150 euros.
So the title maybe it was us, not them is the only thing I can attribute the rating to.
Sorry, Septime , but guests should be advised ahead of time about a no choice menu.",Date of visit: October 2014,2  ,3
Another great meal at Septime,MarieR770,,"Reviewed October 11, 2014 ","Some time ago we had dinner at Septime which we thoroughly enjoyed. On this occasion we could not get a booking for dinner but we were lucky enough to get a table for lunch. This was such a good meal – each dish was outstanding. I will not forget the dessert of figs, honey ice cream and blackberry coulis. The service was relaxed, friendly and professional. And being there during a sunny September afternoon provided the opportunity to appreciate what a beautiful space this restaurant occupies.",Date of visit: September 2014,,5
Nice change from typical French food in Paris,StaceySnacks,88 reviews,"Reviewed September 27, 2014 ",,Date of visit: September 2014,2  ,4
Great,JeanV304,125 reviews,"Reviewed September 24, 2014 ","One of the new style of ""bistronomie"" restaurants, very good food in a casual atmosphere, not expensive, young and friendly staff.",Date of visit: June 2014,,4
Disappointing service ruined a nice meal,Isolde L,,"Reviewed September 23, 2014 ","Although the lunch fixed priced menu was a good deal and delicious, service was at times unprofessional and disingenuous. For example, our cutlery was not changed when plates were cleared and no apologies offered when we raised this issue with staff. Our group chose this restaurant because of the reputation for good food and service however it did not live up to expectations.",Date of visit: September 2014,1  ,2
Best restaurant experience in Paris,Eliza D,,"Reviewed September 22, 2014 ","I was having a celebratory dinner with a friend, who is a total foodie and picked the restaurant based on excellent reviews. Beyond the food at Septime, which was superb, delicious and inventive, the service was extraordinary.

It was the best culinary and service experience I've ever had in Paris - and one of the better ones I've had anywhere in the world. I'm still thinking about the cuttlefish linguini…

It's a tasting menu, so be sure to go with an appetite!",Date of visit: September 2014,,5
Excellent value for money with great food and attitude,CBRfinediners,54 reviews,"Reviewed September 17, 2014 ",We ate a 3 course menu for lunch and thoroughly enjoyed it as did all other iners around us. Exceptional lunchtime menu at E30 p/p. really pleasant service.,Date of visit: September 2014,,5
Definitely one of the best in Paris!,iashi,,"Reviewed September 15, 2014 ","Had dinner twice at Septime and both times, the food was excellent. Different menus but we could taste the consistency and flavours that have made this restaurant popular. Additionally, service was great as the waiters tried their best to speak in a second language. Price-wise, we thoguht it was reasonably priced. Wine selection is very good too.",Date of visit: July 2014,1  ,5
A faultless experience,Gavin J,,"Reviewed September 9, 2014 ","We were incredibly lucky to get a table at this wonderful restaurant. Our french is poor but every single member of staff was accommodating and spoke perfect English to us. The decor is understated and subtle and the atmosphere was bustling and intimate. We ate at lunch time and decided to go for he 3 course set meal, with the best charcuterie and bread I've ever had to start. I think septime is the perfect restaurant because the set prices act as a total leveller making fine dining open to anyone! While waiting for our food we had some damn fine gin and tonics, made with monkey reserve gin. Too good! Every bit of food was a sensory revelation, it's a very small menu and so there is no weak link, I feel like I could have ordered anything and it would have been spectacular! I will recccomemd to EVERYONE!",Date of visit: September 2014,5  ,5
Great Find,cyt2014,,"Reviewed September 3, 2014 ","Had lunch here on our first day in Paris. We were actually heading to another restaurant, but had heard of Septime in our research for our trip and decided to eat there. We were not disappointed. The wait staff was very attentive, and helped us with our wine selection. The food was incredible. We did the 3 course prix fixe lunch and were not disappointed. We would definitely eat here again
.",Date of visit: September 2014,3  ,5
Delicious,Cindy C,22 reviews,"Reviewed August 30, 2014 ","We were able to get a table at lunch the morning of. Food was fresh, interesting and delicious. Really genuine servers, great wines. Favourite dining experience in Paris.",Date of visit: August 2014,1  ,5
big experience,mat k,4 reviews,"Reviewed August 21, 2014 ",,Date of visit: June 2014,1  ,5
So bad !!!,Quentin D,,"Reviewed July 28, 2014 ","I had a meeting with many friends in front of the restaurant. I already book by phone 1 week before.
The staff told me, I couldn't seat on a chair...

I don't want to go there anymore !

Food was not fantastic ! I know many place like this in Paris !

This restaurant is just for tourists",Date of visit: July 2014,6  ,2
overrated and overpriced,Unparisian,,"Reviewed July 23, 2014 ","It was quite tough to get a reservation (probably a strategy to make the place more sought-after); the restaurant even called beforehand to make sure that we really intended to go. Four of us went for lunch on a summer week day: the restaurant isn't big, tables are close together, and it's unpleasantly noisy -- especially with the windows open for air as the street is narrow and very busy with traffic, including big trucks. As a result it was difficult to have a conversation between four people at a relatively small table. Decoration is predictably trendy, stylishly simple but pleasant. Table tops are made of thick rough wood; chairs are uncomfortably hard. The place feels a little hectic, in the dining room as well as in the cramped kitchen which is visible from the tables. The (more or less English-speaking) French staff looks young and smart. There is a €28 lunch menu, but since 2 of us wanted the ""Carte Blanche"" menu at €55 (without drinks), the waitress declared we all had to have the same kind of menu for (their) convenience and meal timing... Okay, so be it, we all went for the ""Carte Blanche"". That means a surprise five-course meal that the chef decides on. One of us was a vegetarian and they said that was no problem; they would make special dishes. However it's not the best place for a veggie: all they did in fact was remove the meat or fish around the very few veggies on the plate. No replacement with tofu, grains, pasta or any others such foods. So, since all of the portions are very small to begin with, the veggie meal was minimal and insufficient (fortunately the bread was good). The wine recommended by the waiter was fine. On the whole, ingredients were tasty and fresh (but skimpy), the food was all right but not very exciting or outstanding, despite an attempt to be somewhat different and original (perhaps that's the problem?). The place and the meal were not exceptional in any way despite a Michelin *. It was below our expectation after reading all the good reviews and it felt overrated and overpriced considering the quality and the small quantity (about €70 per person with drinks). I would not particularly recommend eating there over any other restaurant with decent reviews; in fact I would hesitate to go there for a relaxing dinner because of the the lack of comfort, and the busy and noisy environment.",Date of visit: July 2014,5  ,3
allows cell phones,729SSS1970,,"Reviewed July 21, 2014 ","We were able to get a reservation three weeks in advance and we would have enjoyed our meal, but as you may know, tables are small and close together in Paris and the couple next to us were on their cell phones the entire time we were there. We mentioned to our server and he just looked at us like we were nuts and not with it!!!! Will not go back. If you wish to go be prepared to deal with cell phone talkers.",Date of visit: May 2014,1  ,2
Very ambitious. Maybe too.much so.,unloved,,"Reviewed July 12, 2014 ","For several weeks before our recent trip to Paris, we attempted to make a reservation at this one Michelin star restaurant. Would you like a table at 9:39 on the third Sunday of the year 2016? How hot can a restaurant be? We eventually gave up. Well, lo and behold, there was a last minute cancellation and we were given the opportunity to experience the ""emperor's new clothes"" version of a restaurant. Located way out of the way from anywhere convenient, the place has a decor reminiscent of the bunker on LOST. Ironically, after the ordeal of making a reservation, not all of the tables were filled.
There is no menu. Your server will attempt to describe, in English, what the chef has prepared. So, it can be a bit of a crap shoot knowing what you're actually eating.. The menu is nothing, if not creative. Raw veal, that's right, raw veal, in tomato water and several mystery ingredients that all tasted fresh but added up to a fairly un exciting and potentially dangerous dish. Following that, was a small chunk of monkfish in some other kind of vegetable water. Clearly sauce as we know it, is dead. Viva water! Again, clean favours, bland dish. No individual flavour jumped out. If you've ever shared an imaginary tea with a five year old girl, you'll understand how I felt when the meal was finally over. It was very imaginative but it I didn't really get tea. (By the way, there are at least five other courses, so by the third course I became jealous of diners who were paying their checks).
There were two deserts. One a cucumber sorbet, in yet another unidentifiable water which was,
refreshing and flavourful, (the flavour being primarily cucumber). And finally, there was some kind of chocolate mouse, which had so much chocolate flavour it reminded me of what had mostly been missing from the majority of the meal. Obvious flavour. It was quite satisfying and delicious. I really wanted to like Septime. God knows it's unique, and even adventurous. I just wish it all tasted better.",Date of visit: July 2014,4  ,3
Hype tough to understand,leloir,,"Reviewed July 8, 2014 ",Decent food for sure. Ingredients fresh. Preparation fine. But cramped tables. Uncomfortable chairs. Cold reception. Amateur service. Not sure why so many food writers love this place. Or why the Michelin guide has awarded this place a star. I did not find this place exceptional in any way.,Date of visit: July 2014,1  ,3
Little Gem,Shanti M,215 reviews,"Reviewed July 2, 2014 ","Great food, wine and service. Limited menu especially for vegetarians or those with allergies. However, the staff were very accommodating. Near the Bastille.",Date of visit: June 2014,1  ,4
Terrific Farmhouse Vibe-Sophisticated market cuisine,Susan B,,"Reviewed June 24, 2014 ","For the quality & price of the meal, couldn't be beat. We're tired of 3* restaurants-this is charming, very fresh market produce, only a couple of choices & either 5 courses at dinner or a choice of 3 or 5 at lunch. Fun vibe, very hard to reach them, so book ahead or just stop in if u in Paris.",Date of visit: June 2014,1  ,5
"Great meal with great value, informal atmosphere, friendly staff",mel7155,,"Reviewed June 23, 2014 ","This restaurant is worth the effort to book in advance in terms of value, atmosphere and food.

The downside is the really difficult booking process as well as the difficult to find place. The place is peopled by locals so that indicates good food.

The food is fresh and very inventive and creative which justify its high ranking. Went for the lunch menu and the food was great value relative to the ingredients used. Will definitely come back (if I can get a booking)",Date of visit: June 2014,3  ,5
Brilliant meal you shouldn't miss,vwconvdc1195,92 reviews,"Reviewed June 18, 2014 ",,Date of visit: November 2013,,5
Focus on Flavors in Beautifully Rustic Setting,dpdes60,,"Reviewed June 5, 2014 ","I must admit I was a bit apprehensive of the hype. In addition, the website reservation system is useless. However, all anxiety melted upon entering the rustic and glowing dining room. We were warmly received and true concern for our enjoyment was evidenced by the wait staff's efforts to discern any food intolerances of of our party members. We chose the carte blanche menu and were treated to an array of courses which displayed creative combinations of pleasurable, often surprising flavors and textures. The recommended wine paired beautifully with the meal.
The entire experience was unpretentious and thoroughly enjoyable. We left satiated and genuinely cared for by the staff. The value is remarkable as one could easily spend much more on a mediocre meal in noisy and crowded tourist trap brasserie.",Date of visit: May 2014,4  ,5
Brilliant modern bistro meal,Tania_Chris,,"Reviewed June 4, 2014 ","This is a true modern French bistro. The food is experimental and interesting, whilst at the same time really tasty with many layers of taste and texture. The bread is replenished constantly and you will need it to wipe the juices off the plates! I can understand why it is so difficult to get a reservation.

We had lunch, which is easier to secure. We booked through the online portal after the hotel said they couldn't get us a table!

The service was excellent. The waiter offered several alternative drinks to alcohol which is always lovely.",Date of visit: May 2014,2  ,5
Fantastic spot! Don't miss this Parisian gem!,martha k,10 reviews,"Reviewed June 3, 2014 ","Best meal we had in Paris! Fantastic lunch, lovely wine pairings and simply marvellous food. Creative, fresh, and perfectly balanced meal. Will definitely return on our next visit!",Date of visit: May 2014,1  ,5
