rev_title,author,author_reviews,ratingdate,text,visitdate,likes,rating,weekday,month
One of the best,swinifredb,0,2015-11-22,"Original, and delicious food served by attentive, enthusiastic waiters (who will describe your dishes in English if you wish) presented in a beautifully designed room that is both spare and warm. Vegetables are honored, but the meats and fish are also perfectly cooked. There are taste revelations in each course, including dessert, e.g. dehydrated capers on rich chocolate sorbet. This is a form of haute cuisine that is not haughty. It's exciting, locally sourced, carefully prepared and stunning. The portions on the tasting menus are thoughtful--not huge--but not tiny as some reviewers have suggested. And the price is reasonable. ",2015-11-01,1,5,Sunday,November
"Relaxed, flawless service and original, fresh delicious food",AmericanInLondon2013,0,2015-11-13,"My husband and I had an unforgettable Friday lunch with the six-course tasting menu. The service was professional, calm and friendly - and unobtrusive. The food was fresh, relatively light and original - and stand-outs were the celeriac 'pasta' ribbons with egg yolk and crushed nuts and the chocolate sorbet with semi dried capers (yes, really). The atmosphere was exposed brick and filament light bulbs, but not in an overly-industrial way. You can peek out to the tiny cottage-y kitchen garden in the back. I would highly recommend this restaurant and it was worth the hassle of ringing three weeks ahead promptly at opening time to bag a reservation. Don't miss.",2015-11-01,1,5,Friday,November
Dont get they hype,ldjsue,74,2015-11-09,"It was a nice lunch, nothing spectacular. Service average, not particularly friendly.
Food was good - not extraordinary.  If you get in then go as price is reasonable.",2015-11-01,1,3,Monday,November
Difficult to Reserve But Great Food,D T,0,2015-11-07,"This restaurant is so difficult to get a reservation that I’m not sure it is worthwhile—even though I enjoyed the food. That calendar on their website is enough to cause nightmares after trying over and over and accomplishing nothing. I thought it was a miracle when finally one day opened up on that calendar and it was actually the day I wanted. I grabbed it so quick that I really felt like I had just accomplished something huge. Interestingly, when I arrived at the restaurant about 30 minutes early, there were already about 20 people standing around waiting to get in. I’ve never seen that before in Paris. And, another thing I have never seen in Paris is that they actually opened 20 minutes early and let people in. I was blown away by that. I had the 3-course lunch for 30E. I had the Bonite crue, rhubarb et crème au raifort for my entré, the Lieu (Pollack fish) jaune de lige, sauce poivron-nduja for the plat and fromages affinés (1 hard cow cheese and 1 soft goat cheese) for dessert. The brown bread was soft and fresh with a great crunchy crust. Honestly, I had agreed to meet someone there for lunch whom I met on the Paris Forum. We had such an enjoyable time together that I didn’t pay a lot of attention to the food. However, from what I noticed, everything was delicious and I would certainly go again—if someone else was making the reservation! ",2015-09-01,1,5,Saturday,November
Superb long lunch,Michele R,0,2015-11-07,"Septime, 80 rue de Charonne, 75011 Paris. I’m a solo traveler, not a chef, nor am I a restaurant critic, but I love good food, beautifully prepared and presented and was not disappointed.
Once again it was raining as I set off for my lunch time reservation but luckily it had stopped before I got to the restaurant as the taxi driver even with GPS got lost and dropped me off a few blocks away.
There were only a few diners there when I arrived but the restaurant was full by the time I left a good few hours later. The restaurant is light and feels spacious. If lucky enough you will be seated in the main dinning area in front of the kitchen where you are able to watch the staff as they prepare the meals. When travelling solo this can be a pleasant way to pass the time between courses.
While the menu looked delicious I opted for the 6 course “Carte Blanche Midi”. When ordering, the staff ask if you have any allergies, likes and dislikes. A lot of people around me had also ordered the Carte Blanche and as far as I could see, no two meals came out exactly the same; they were tailored to your tastes and likes. The menu changes regularly but some of my favourites were the scallops with radishes, bone marrow with parsley and gherkins, a dish of squid hood, beans and tomatoes with a delicious peppery oil dressing which gave the beans a lot of flavour and the lamb which came with green beans, spinach and a light airy foam. The waiter told me the chef cooking the meats while I was there was a young Canadian chef. The lamb was sublime, perfectly cooked and just melted in my mouth.
The wine list has a good range of natural wines, I think this means they are sulphur free, The wine recommended after I told the waiter what sort of wine I liked was superb, so nice I had two glasses.
The staff working on the day I visited had a good grasp of English and were able to explain the dishes as they were delivered. They were professional, courteous and discreet with a good knowledge of the menu and wines.
Total cost including glass of champagne, 2 wines, water and the 6 course Carte Blanche was 93 Euro. I would most certainly go back to sample even more of the beautifully prepared food.",2015-09-01,2,5,Saturday,November
paris at its best,Felix_G6600,48,2015-10-30,"excellent food,totally fresh,simple ingredients mixed to haute cuisine,great,caring service,interesting wine and beverage-list,one of the very best restaurants in paris,yes,it's woth the sometimes troublesome reservation!",2015-10-01,0,5,Friday,October
The best. ,SnackHunter007,260,2015-10-30,Wow. Just wow. Such great food. Service in sing and wine list is great. One of my favorite restaurants in the planet. Fantastic.,2015-03-01,0,5,Friday,October
It doesn't worth it,Piera Anastasia R,0,2015-10-27,"We booked this restaurant 1 month in advance for my birthday and we get a table at 19.30.
The location is really great, but the food if we can call it like that it's not so good that we can expected, but it's something to try and hard to describe (the ingredient quality is excellent). I think this restaurant it's overrated.",2015-10-01,3,2,Tuesday,October
Best Meal in Paris,J15OEmaryp,0,2015-10-26,"We dined here for lunch in July. It was, by far, the best dining experience we had in Paris. Every dish was perfectly balanced in flavor and the presentation of the food was second to none. We had a table where I could watch the kitchen staff work the line and I loved this. I totally geeked out on watching people's food being prepared. The wine list is great and, don't worry, there are a few affordable options as well. When we go back to Paris we will definitely try to get in here again because it is just that wonderful.",2015-07-01,1,5,Monday,October
Stunning!,ecf1,0,2015-10-15,"This is among the best -- the very best? -- restaurants we've been to in Paris on eight trips over more than 20 years. It is very hard to get a reservation -- three weeks in advance to the day, and at 12 noon Paris time -- but we got one online at the exact moment. I began with a bouillon of champignons with a cooked egg yolk where, at first bite, I ate the best mushroom of my life. Stunning. Everything fully flavored, and clearly worked for a long, long time. I followed with steak ""Montbeliarde"", a breed of cow I didn't know from well south of Paris, with great greens and caramelized carrots (can I say ""stunning"" again?). My wife went the fish direction: raw tuna with pear, and a line-caught Merlu. All terrific. We ended with a plate of tomme de Savoie and a brie de Meaux, then a dessert mont blanc with strange curly chestnut strands that looked like pasta on top. Surreal and delicious! The small menu changes weekly. Wines are impeccable, including an orange wine from northern Italy. The price was excellent for the quality. Service was terrific, mostly by young men, but also by the very charming Ophelie. Merci, everyone!",2015-10-01,0,5,Thursday,October
Worth the Effort - Very hard to get a Reservation,missros,0,2015-10-11,"Reservation made the Concierge at our Hotel - he had to try many times but succeeded
and advised me once he was able to get a table for 4.
The place is very trendy not at all intimidating but very friendly and comfortable.
Surprise Set Menu - they ask about Dietary requirements at the outset once settled with a drink.
7 Course Dinner for 65Euro per person plus cost of Wine etc. 1 Nibble, 2 Appetisers, 2 Main, 2 Dessert, All very delicious and met one of the party's requirement of non dairy.",2015-09-01,0,4,Sunday,October
Awesome long lunch,CRB333,0,2015-09-30,"What a way to spend our last day in Paris. We had the 6 course menu and loved every dish. The tasting menu includes 2 starters, 2 mains and 2 desserts! Prepare yourself for some tasty surprises. The service was excellent too, with friendly and charming wait staff.",2015-09-01,0,5,Wednesday,September
Why go to Paris if you're not going to eat at Septime?,chelseagilson,0,2015-09-29,"I suppose I'll start with what I consider the best. It would be an absolute shame to go to Paris and not eat at Septime. The tasting menu is inventive with fresh and flavorful dishes that tickle your tastebuds and leave you wonderfully satisfied. The service is perfect, the wines exquisite, the atmosphere charming. There's a reason why there's a three week wait for reservations at Septime, and that is because the chef knows what he is doing. The beautiful thing about Septime is that the 7 course dinner is constantly changing with the season, so every time you go will be fresh and exciting. This is also wonderful for Americans who may not speak perfect (a lick) of French past bonjour and merci. The tasting menu takes all of the guest work out of trying to decipher the menu. All you have to do is sit back, point to which bottle of red you can afford, and remember to add the cheese board to your dessert.

Septime is located in the 11th, an area unscathed by tourist zombies. You have to make reservations 3 weeks in advance (or pray to the champagne Gods for a cancellation).",2015-09-01,1,5,Tuesday,September
Exceptional food,tdav13,0,2015-09-24,"This restaurant was WOW - exceptional. My boyfriend and I love love good resto's and this one was a hit. We treated ourselves out to a nice $ dinner before moving back home from this beautiful city. We obviously had the 7 course 65euro meal (it was the only option) and very well worth it - portion sizes are perfect, I was very full upon leaving. We also took the wine pairing (55euro). The wine was good and a fun experience, but if you want to save a few $$, skip it and get a decently priced bottle of wine - the food will be just as good!",2015-09-01,0,5,Thursday,September
Lovely place to spend a long relaxed lunch over a very good tasting menu!,John D,0,2015-09-16,"The food here is exceptional with some really interesting and original flavour combinations. What makes this place special though is the enthusiasm and friendliness of the staff. If you feel like an exciting, and sometimes challenging, ride through their wine list then go with their choices to accompany the tasting menu; you'll probably go to places you've never been to before but you won't regret it!",2015-09-01,0,5,Wednesday,September
Great lunch!,ParisKat,0,2015-09-13,"Because of so many great reviews and mentions in food and travel magazines, I was really looking forward to lunch at Septime. I was not disappointed, and in fact had a perfect lunch: great food in portions that were not huge, really good wine, and friendly, professional service. Yes, you do need to get a reservation, but it is totally worth it. Yes, it is a little from the center of town, but it is fun to see a new area. We had the bone marrow with mussels for our starter, the yellow chicken for our main, and cheese for the last course. Everything was of great quality. Cannot wait to revisit!",2015-09-01,0,5,Sunday,September
Wonderful French Fare,mary m,22,2015-09-10,"The food here is excellent! The menu changes daily because the chef buys local. The result is wonderful food. Sadly, I could only get reservations for lunch during our trip- if you're interested in this fantastic food you'll need to plan ahead.",2015-06-01,0,4,Thursday,September
Absolutely fantastic,mik_jordan,23,2015-08-08,"That is one of our best gastronomy experience in Europe. Fantastic food, fresh and perfectly prepared. Absolutely recommendable.",2015-07-01,0,5,Saturday,August
Book three weeks in advance,Ariel_Xianne,0,2015-08-02,"Septime is probably one of the toughest restaurants to get a reservation in Paris. However, giving consideration to the price we paid (about 40 euro per person), the food here is just PERFECT. They only serve set menu which never goes wrong. This restaurant also has a cave, where I tried the orange wine for the first time.",2015-04-01,7,5,Sunday,August
Finally found a table!,Flami1990,0,2015-07-30,"After months of trial I finally get a table at Septime.

Cozy restaurant in the 11th arrondisement offering an incredible culinary experience!

Unfortunately the dessert was nothing special but overal the dinner was great! Curious to come back to experience a new proposal of the chef :)",2015-07-01,1,5,Thursday,July
Delightful Lunch,nhes,0,2015-07-25,"Yes, reservations are difficult for to get but try calling for lunch. I never could get the website system to work but made a lunch reservation by phone about 3 weeks out.
The lunch was delicious, lighter than some of our other meals and a ""just right"" portion. I think that is a sign of a well-planned meal, leAving the diner wanting no more or less.
The waitstaff were patient and notably helpful in providing English translations when we hit a snag. I also appreciated their wine pairing suggestions and the reasonable wine prices.
The lunch menu is a good value given the quality of food and service. The menu changes so I won't recommend one dish over another but will say the lunch here is a great way to experience an Michelin starred restaurant in Paris.",2015-07-01,2,5,Saturday,July
Amazing!,Thecantys,0,2015-07-20,We visited for lunch as it was the only table available during our stay in Paris and we had the most amazing food and wine. The best plate of food I have ever tasted. Book yourself a table here if you can get one! Outstanding thank you all at Septime!,2015-07-01,1,5,Monday,July
Good food but had higher expectations,BeneLou75,0,2015-07-15,"I had to book 3 weeks in advance and had heard so much about this restaurant that I was really excited about it. The food was good, the service as well but I was expecting something better and I was a bit disappointed. Don't get me wrong, the food was very good but perhaps i had higher expectations, considering the publicity this restaurant receives.",2015-07-01,0,4,Wednesday,July
Original food with fresh ingredients but limited selection,workingmom001,0,2015-07-12,"Found Septime in 2015 Lonely Planet guidebook. Made lunch reservation for three of us that same morning. Did not realize that the one menu had only 2 appetizers, 2 mains, and 2 desserts from which to choose. Really enjoyed 1 of the appetizers (raw tuna with cherries). And liked the fresh produce in all 3 courses. However the steak and fish mains were bland plus the steak had gristle, and the steamed apricot dessert was overly sugared with homemade granola. Still, a good change from the heavier French food we’d been eating.",2015-06-01,0,3,Sunday,July
Hard to get a table,EuroEpicure,13,2015-07-08,"If you can get a table - go! 
Interesting and inventive food. 
Opt for lunch as it is affordable. 
After they got their Michelin start it is
even harder to get a table.",2015-04-01,0,5,Wednesday,July
My favourite restaurant,Dave P,0,2015-06-26,"I know that these days it's pretty impossible to get a table, and that the food is getting slightly more 'out there'. But I've quite simply never been disappointed.

They're not giving the food away, but there's a real value for money there. The dishes are well worked and the advice on the wine has always been impeccable. Unfortunately, some may find themselves disappointed because of the expectation that accompanies such a long wait (not to mention the hype).

If you go with an open mind, you'll come away happy. I always have.",2015-02-01,1,5,Friday,June
Truly terrific. Get your concierge to help you with reservations. Do it far in advance.,moodbeast,0,2015-06-18,"It's a shame the previous review gave Septime an angry 2 star review because our experience was the total opposite. We loved our 7 course dinner. The portions weren't big, but they certainly weren't small either. My husband was very pleased with the wine pairing (he knows a fair amount, more than I). There was a couple beside us who had some pretty ridiculous food ""allergies"" and they managed to serve them some substantial dishes, and I didn't think the server had any kind of attitude about it. We tried our best to speak French, but the staff were very accommodating and spoke English as well. I wouldn't take children here. The atmosphere is more grown up. Plenty of foodie tourists, since this place gets a lot of press. The reservation system online is a bit much. That was the only drawback for us. Would love to come back again. I didn't think the price was expensive at all. Comparable with San Francisco. Mid-priced ($140 pp WITH wine pairings).",2015-06-01,0,5,Thursday,June
Inexcusable!,Theroux804,0,2015-06-17,"The owners and Chef Bertrand Grebaut really need to take a good hard look at what they are trying to achieve here. Many reviewers talk about the difficulty in booking a table at Septime, I walked in off the street and was shown to a table. ""Lucky fella"" I hear you say, not a bit of it! It's true I'd read a few articles and was looking forward to the experience, I was also hungry, generally a prerequisite of mine for having dinner.

Well, the set menu of seven tasting plates is not going to do it for you, I promise. Tiny portions, combinations that have no place on the same plate, extremely long waiting periods between courses and paired wines that are in some cases so extreme that you leave the restaurant with the knowledge that tomorrow morning has ""hangover"" written all over it. You will also leave hungry and considerably poorer.

A family of four were having dinner next to me, I genuinely felt sorry for them. They had arrived before me and yet their plates were arriving after mine and with even longer waiting periods, they were obviously hungry and were visibly embarrassed at the meagre portions which may well have satisfied a Parisian catwalk queen but were never going to satisfy anyone not on a strict diet.

So Chef Bertrand, was it just a bad night? I won't be back to find out, you may be an innovative chef but it's time you put your customers first.",2015-06-01,3,2,Wednesday,June
Good hipster food,SasquatchShu,0,2015-06-08,"After reading many reviews about this restaurant about the hail and hellfire traversed to get a booking I must say it was not too difficult in our case. We called exactly about 3 weeks before estimated date and happily were given a lunch table.

The restaurant itself is situated slightly out of the way, not in the traditional areas one might consider foodie central as are many hipster restaurants the world over. We went for the tasting menu which at the time was good but nothing that I can recall specifically 2 months down the line.

Fresh produce, attentive service, nice albeit cramped decor. Perhaps not a destination place but if you can get a booking, why not.",2015-04-01,1,4,Monday,June
Exquisite ,Steven M,0,2015-05-30,"I worked very hard to get this reservation for lunch, but it was definitely worth the work. They only take reservations exactly three weeks prior to the day on their website - reserve early in the day because they will all be gone quickly. I read the Perierre ratings that drew me to this place. They do have bar seats that seemed to be open for lunch, but I wouldn't risk it and get the reso.
It is a quaint little restaurant with a beautiful open design and great view of the kitchen. The staff were very friendly and spoke wonderful English to get us through a meal. They were only offering a prix fix menu because it was a Holiday. We did the pairing a it was perfect.
1-bonito trout, mango and zucchini
2- pea purée, strawberry, fava bean, truffle oil - Pinot Gris
3 - buffa cheese sauce, white asparagus and pickled onion - champagne
4- Chardonnay - torbot, spinach/white spinach and artichoke purée
5- orange wine - Italian - quail, spinach, mustard leaf and herb purée
Chèvre course - with beer
6- Vergano Mauro vermouth - elderflower ice cream and rhubarb purée
7- caramel mousse, salted caramel - cider
The most surprising course the Tobot which was perfectly prepared - flaky and very moist. The food was out of this world! The Vergano Vermouth was superb and was a surprise to myself and my husband - delightful.
If I could give a higher star rating I would.

Food: 40/40
Atmosphere/Decor: 20/20
Staff: 20/20
Value: 20/20

Total: 100/100",2015-05-01,2,5,Saturday,May
Good but not extraordinary.,Raymond P,0,2015-05-26,"Given the hype and the long wait to book a table, there are expectations. Let me be clear .. a 3 course lunch menu for Euro 30 is more than correct with a wine list that is extensive and also correctly priced. The staff ( more than 12 that I could count) were pleasant and the service good if a bit impersonal since different people did different things. So on that score Septime is good and good value for money. What it isn't, is extraordinary. All the dishes are very well presented and technically cooked to perfection. But after two mouthfuls there is just the same taste and tone throughout the dish. There is no variation or surprise so it becomes, frankly, a bit boring and unsatisfying. In short, technique has precedence over the 'wow factor and 3 weeks is too long to wait for that.",2015-05-01,0,4,Tuesday,May
Overrated,Fauvel,0,2015-05-26,"Given how laborious it was to get a table here (many, many phone calls were needed to catch a human being--the online system didn't work for me), I had high expectations. I found Septime to be very good but really not excellent. I am a big foodie and love strange flavor combinations but many of the dishes just didn't work (e.g. strawberries in a sweetened pee puree as one of the dessert courses). All in all, it was a perfectly pleasant experience but nothing extraordinary and certainly not worth all of the work of getting a reservation. The highlight was actually the service. The waiters are all attentive without being snobby or cold. The people working at the bar also knew their wines backwards and forwards.",2015-05-01,5,3,Tuesday,May
"Strong start, questionable end",Sylvie07,0,2015-05-25,"Our reservation was for 8:00 pm and we were seated immediately. The only option at Septime was the seven course chef’s menu for 65 Euro per person. In summary, we felt there were great entrees, good main, good service, ending with a strange ""transition"" dessert.

For the entrees, the zucchini with lightly cooked rhubarb was served with soft goat cheese under it, and was good. The soup dish, my personal favorite, was exquisite, with green beans presented in a bowl with some herbs (mint and chives, for example) that the server then covered with a tasty light fish broth that had been infused with herbs. The white asparagus and fish course was delightful. My one complaint regarding the mains was that the chicken was rather rubbery, but tasted good.

As for drinks, I had a glass of rosé that grew on me, followed later by a glass of Chablis that was lovely. My husband enjoyed his Deck-Donahue Beaupres Spring Pale made in Montreuil. Be aware that the small bottle of (eco?) tap water costs 4.5 Euro which we felt was excessive.

The servers patiently explained components of the various dishes, often trying in English, although at times, the code-switching made it more difficult than if they had consistently used French. (I speak French and my husband is learning.) One issue, no matter which language, is that we had probably 6 different servers throughout the evening, which made service seem disorganized.

The meal seemed to start strongly but we were truly disappointed when the first dessert-y course was brought to the table. Here is the excerpt of our conversation at that point:
The server, placing plates on our table: C’est une mousse aux petits pois avec des fraises et des petites pousses de petits pois.
R: Did she just say peas?
Me: She did…

This, to say the least, was a strange dish. The pea mousse was sweetened and came with sweet strawberries. I wanted to love it! Although the color combination was quite nice, I kept hoping the aftertaste of peas would leave my mouth. It wasn’t pleasant. David Lebovitz, if you are listening, please explain! Help me understand! We engaged one of the servers in a conversation about this dish, still doubting that peas were implicated in a dessert. She confirmed it and explained that it was meant to serve as a transition from the last main dish to the sweeter boule of ice cream at the end. J’aurais pu m’en passer, merci! But overall, the experience at Septime was good (better than average, for sure).

Attendez, one last comment: the noise level is difficult, due to terrible acoustics with the cement walls. We suggest adding some acoustic tile to ameliorate this.",2015-05-01,0,4,Monday,May
Feeling abused,kkovach,0,2015-05-18,"A party of 6 of us, all friends from the states, decided to have our final dinner at Septime. In our opinion, this is the most overrated restaurant in Paris. It was an hour after sitting down that we had our first course...an unmemorable lump of chevre with slices of raw zucchini on top. This awful course was topped by the fish course of a white fish in a thick, heavy white sauce with no flavor topped with sliced white radishes. Oh, did I mention that this was served on a white plate? The only course that was decent was the steak tartar. The service between courses was appalling with no explanation. If you enjoy paying a fortune for inferior service and inedible food this is the place for you.",2015-05-01,6,1,Monday,May
loved septime,travelgurl1234,38,2015-05-17,"this was a bit out of our way, but we ubered it to septime for a tres magnifique lunch. the food was outstanding and the wine list great. we loved the atmosphere too. this is a place a would go back to over and over.",2014-11-01,0,5,Sunday,May
A relaxing atmosphere with some fine food,Arielle Fu Hua Y,0,2015-05-16,"After my meal here, I booked Septime right away for two weeks later!
First time here I had the 30 euro lunch menu and was amazed at how good the food was! Although made with simple, every-day ingredients, there is much skill to the food preparation, added with a bit of creativity.
My second time here, only their ""carte blanche"" offer was available: 6 dishes for 60 euros. Everything up until the 2 desserts was great. For dessert, it was ice cream with baked granola, and strawberries with fresh cream. Not too impressive at all--which is why i only gave it 4 stars. I wish they had a better ending to the entire meal as the entrees and mains were great.
Either way, still very very good value meal!
Check out more reviews on Paris restaurants on my blog: www.365inparis.wordpress.com",2015-05-01,0,5,Saturday,May
Good food but may not worth the hassle,Hsiao-Hui W,0,2015-05-16,"This place, if book online, needs to be book exactly 3 weeks ahead, not a day early, not a day late. We went on a raining hoiday for lunch and the place was packed. Since it was a holiday, so for lunch only tasting menu available, 60 euros for 6 courses. The first two entrees were not bad, slices of zucchini with some cheese and beef carpaccio. Two mains were white asparagus with fish and quail, both cooked deliciously. Two desserts were kind of diapointment, I dont feel that the chef put much thoughts into deserts as the previous dishes. Overall, it was a good eat but may not worth the troubles of booking three weeks in advance.",2015-05-01,0,3,Saturday,May
Exquisite cuisine ,ShoriSmith,11,2015-05-09,"Small, delicate , artistic designed all tasty dishes which gathers the taste of the season and the chef. Chapeau. I would avoid port and sea food",2015-05-09,0,4,Saturday,May
"Delicious food, impeccable service, and rustic chic décor!",Joobert,0,2015-05-02,"We arrived at Septime hungry for lunch, and with high hopes after reading so many good reviews. First and foremost, the service was fantastic. The waiters were attentive without being overbearing. They took their time to explain each menu item. The presentation and portion size were on point. So what about the food? It was delicious! The meals were well balanced and flavourful. Finally, the décor was rustic, yet chic. The small details such as using an indie gin bottle as a water carafe, Aesop brand hand soap in the restroom, and the antique mirrors mixed with distressed wood tables, really made the atmosphere so homey and cozy. If you have a chance, definitely give this restaurant a try! You won't regret it!",2015-04-01,3,5,Saturday,May
Good Food and Great Service,Chat1001,0,2015-05-02,"I was so excited to finally made a reservation at Septime and realized I made it in the wrong date. Judith, was very accommodating and worked her magic to get us in for lunch. I thought it would not happen as we had very limited time in Paris but she did it. The service was great and the food were tasty, great value for a good lunch experience in Paris. Highly recommended.",2015-05-02,1,5,Saturday,May
Great lunch,Joe W,4,2015-05-02,"The food was spectacular so was the service. If you can get in, it's a most go. Make sure to reserve a seat!",2015-05-02,1,5,Saturday,May
Foodie heaven,carnage99,147,2015-04-29,I loved this place. Thoughtful menu and service. A good change from traditional French food that most restaurants push at tourists. The degustation was perfect. Every course was delicious. Book online - No problems with a PC but no luck with iPad/iPhone.,2015-04-01,0,5,Wednesday,April
Hugely underrated. Superb,travelaussiefamily,0,2015-04-08,"Septime is hard to get into. We booked by calling in the middle of the night from Australia weeks in advance. It was well worth it! The food is divine. We enjoyed the 6 course degustation lunch. The flavours were superb. Service was first class. There were a lot of waiters but at no time did we feel over serviced or scrutinised. It all fell into the background, yet if ever we needed anything someone was right there. The staff were very observant that our two daughters each didn't like one of the degustation courses and they with no fuss whisked them away and brought an alternatives which in both cases was delightful. The ambience of the restaurant is very relaxed so no need to be dressed beyond smart casual. ",2015-04-08,1,4,Wednesday,April
Dinner,Girodot,57,2015-03-07,"We have tried for a few months to get a table, never managed. Last night we took our chance and they had place availible at the counter. Not very comfortable, but the food and service was amazing. Definately one of my favourites in Paris",2015-03-01,1,5,Saturday,March
Amazing!!,carlabecc,20,2015-03-03,"An exceptional culinary experience !! Just amazing !! Six extraordinary dishes , a treat for your palate !!",2015-02-01,2,5,Tuesday,March
Incredible,TheMcGonigals,0,2015-02-26,"What's not to like about Septime? It's one of Paris' newest Michelin starred restaurants, it serves incredible food and the prices are extremely reasonable!

The Septime concept is simple - the menu is a surprise - the only thing your server asks is if you've any allergies or strong dislikes. After that you're in for 7 courses of surprises.....

A word of warning though, Septime is ALWAYS fully booked, make sure you call 3 weeks in advance and be persistent - it's well worth the effort!",2015-02-26,3,5,Thursday,February
Had a nice time,nouglytourist,0,2015-02-18,"Passed by this restaurant a few times and noticed that it is always packed. Many trendy restaurants have opened up in the past few years in the 11th arrondissement.

Like the modern decor. The heaters running up the length of the columns are very original. The lighting is just right: not too dark nor too bright.

We had the tasting menu (Carte Blanche Soir) for €65 per person.

The server who took our order (man with a hipster red, bushy beard and bad attitude) told us in rude tone when we asked what the dishes would be: I can't tell you now. Then, he walked away. Uh, no, we didn't expect him to go into detail right then and there about each and every dish we'd be served but he could have given us some indication of what we'd be eating (i.e. seafood, red meat, etc.) instead of responding so curtly. The other servers were polite and took the time to explain the dishes to us. They also didn't hestitate to ensure that our bread basket was filled. The bread, btw, is from Maison Landemaine and is wonderful.

A lot of work went into preparing and presenting each dish and their efforts were not wasted on us. We appreciated the blend of different flavours and textures. They offered us an appetiser of deep fried brussel sprouts served with a creamy sesame seed sauce. Cannot remember all of the dishes but can tell you that the highlights were: the bok choy with hake (delicious) in a rich sauce and the pan fried Jerusalem artichokes (topinambour) with grated ricotta (equally delicious). The only dish I didn't like was one with squid and fennel in a lemon sauce because it was a tad too sour. Also the chicken they served (poularde) was dry and difficult to cut.

You can have cheese for an extra €9. We opted for two desserts. We liked the first one with citrus fruits topped with whipped cream but could have gone without the second dessert of apple sauce with caramel.

When I made the reservation they told us that we had our table from 7:30 to 9:30 pm as they have a second service at 9:30 pm. We arrived on time and left at 9:35 pm. They did not rush us at all. We saw the table next to ours cleared and they seated people for the second service right away.

Dinner for two with a glass of wine and sparkling water was about €150.

Reserve at least a month in advance. They confirm your reservation the day before.",2015-02-01,0,4,Wednesday,February
Great restaurant,Gerald E,27,2015-02-14,"This place is what a great restaurant is about. Food is very inventive and extremely tasty Staff really cares and knows how to give professional friendly service. Not cheap but worth more then you  pay
Every dish was a beautiful surprise Go and enjoy",2015-02-01,2,5,Saturday,February
A new wave of Michelin stars,Loulwa_Kaloyeros,0,2015-01-18,"We went for lunch and it is incredible value at 30$. As we were two we ordered all that was on the menu that day and nothing to regret. Everything was exquisitely cooked and presented. We had oysters in a mushroom broth and roasted heliantis with mushrooms and a cheese dressing for starters. Followed by squid in an orange sauce with sea urchins and a poultry dish. Followed by a cheese platter - enough for two and the most exquisite finale to our meal, the grilled Sicily clementine with covered in a thin layer of caramelized sugar with a sorbet and fromage frais.
Lovely atmosphere, very gracious staff, delicious food in a cosy setting. What else do you want from a restaurant?",2015-01-01,1,5,Sunday,January
Great materials but boring,Sebastien_Leseine,0,2014-12-18,"After hearing about Septime for a long time, we finally had the opportunity to visit the place while on vacation and my expectations were pretty high. It unfortunately ending up disapointing.

Every dishes felt like it was great ingredients simply placed on a plate but something was missing to bring everything together as one dish.

Although there is no doubt that there are skilled people in kitchen, the overal gustative experience was pretty boring and not worth the cost in my opinion.",2014-06-01,2,3,Thursday,December
Eel. I love eel so much.,JennaPrice,0,2014-12-18,Hard to get good eel unless you want Japanese. Here it's in a soup with pear and cabbage and each flavour separate but working well together. Lively food combinations which probably wouldn't occur to most home cooks but all delicious - plus really great vegetables. (Mostly) cheerful hipster waiters and an intense but quiet kitchen - and the wine waiter made good by-the-glass suggestions for us.,2014-12-01,1,5,Thursday,December
An interesting experience,flame1982uk,0,2014-12-03,"We had heard great things about Septime. And there's no doubt flashes of brilliance were evident...the steak tartare at the beginning of the meal was outstanding. As was the delicious bread and warmth and passion of the staff. But of the 7 course set menu we really only enjoyed 2 of the courses. Maybe just our personal taste, but a broth with foie gras didn't deliver, the foie gras chunks delivering an unpleasant slimy texture. Our fish dish was served extremely rare...we enjoy sushi but this half way house didn't sit right. And dessert plates were average in the extreme. The wine list was also hit and miss. We placed ourselves in the hands of the sommelier who made some strange and rather polarising choices. We felt the focus was too heavily weighted on 'organic' and 'natural' rather than simply what tastes delicious. ",2014-12-03,0,3,Wednesday,December
Nice but overrated,Zabapolka,0,2014-11-18,"Second time in this restaurant after a year of absence unfortunatelly disapointed. Warm atmosphere and friendly service, but food very basic. Lack of imagination in creating the dishes, simple although perfectly cooked meat and fish. Not interesting enough to wait two months for the reservation. Wine list organic, unfortunately of mine and my partner's tastes. ",2014-11-01,0,3,Tuesday,November
Gastronomic tour of Paris,276brucem,0,2014-11-13,"We had dinner at Septime at the beginning of the month as part of a week-long eating tour of Paris to celebrate my brother in law's 60th birthday. He selected the restaurants and wines, and we went along for the ride. And what a ride it was! The tasting menu at Septime was marvelous, and as a tip, don't miss the duck. It was the best I've had in Paris in a week of having duck served different ways. The restaurant was full, and that's a good sign of an excellent restaurant.

I very much enjoyed the entire experience - food, wine, ambience, and expertise of the server. One additional hint: the restaurant does not have a fully stocked bar, so don't have high expectations that you'll have a good vodka there.",2014-11-01,1,5,Thursday,November
Fabulous tasting menu that did not disappoint.,Randall P,76,2014-11-05,Really enjoyed our experience here. Unique dishes that respected the ingredients without trying too hard! The atmosphere was refreshing too!,2014-10-01,1,5,Wednesday,November
